Driver	Constructor	Laps	Time/Retired	Grid
Felipe Massa	Ferrari	58	1:26:42.161	1
Kimi Räikkönen	Ferrari	58	+2.275	3
Fernando Alonso	McLaren - Mercedes	58	+26.181	4
Nick Heidfeld	BMW Sauber	58	+39.674	6
Lewis Hamilton	McLaren - Mercedes	58	+45.085	2
Heikki Kovalainen	Renault	58	+46.169	7
Nico Rosberg	Williams - Toyota	58	+55.778	8
Robert Kubica	BMW Sauber	58	+56.707	5
Giancarlo Fisichella	Renault	58	+59.491	10
David Coulthard	Red Bull - Renault	58	+1:11.009	13
Alexander Wurz	Williams - Toyota	58	+1:19.628	14
Ralf Schumacher	Toyota	57	+1 Lap	16
Jenson Button	Honda	57	+1 Lap	21
Anthony Davidson	Super Aguri - Honda	57	+1 Lap	11
Vitantonio Liuzzi	Toro Rosso - Ferrari	57	+1 Lap	15
Jarno Trulli	Toyota	57	+1 Lap	9
Rubens Barrichello	Honda	57	+1 Lap	22
Takuma Sato	Super Aguri - Honda	57	+1 Lap	17
Sebastian Vettel	Toro Rosso - Ferrari	57	+1 Lap	18
Sakon Yamamoto	Spyker - Ferrari	56	+2 Laps	20
Adrian Sutil	Spyker - Ferrari	53	Fuel pressure	19
Mark Webber	Red Bull - Renault	9	Hydraulics	12
