Season	Level	Division	Administration	Position
2000	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	9th
2001	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	10th
2002	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	4th
2003	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	1st
2004	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	2nd
2005	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	4th
2006	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	2nd
2007	Tier 4	Kolmonen (Third Division)	Turku and Åland Islands (SPL Turku)	1st
2008	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	8th
2009	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	9th
2010	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	7th
2011	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	8th
2012	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	1st
