Date	Visitor	Score	Home	Record
October 14	Chicago Black Hawks	3–3	Detroit Red Wings	0–0–1
October 15	Detroit Red Wings	2–2	Chicago Black Hawks	0–0–2
October 17	Boston Bruins	3–5	Chicago Black Hawks	1–0-2
October 19	New York Rangers	4–2	Chicago Black Hawks	1–1–2
October 21	Chicago Black Hawks	1–1	Toronto Maple Leafs	1–1–3
October 22	Montreal Canadiens	3–2	Chicago Black Hawks	1–2–3
October 25	Chicago Black Hawks	1–1	New York Rangers	1–2–4
October 26	Chicago Black Hawks	1–7	Montreal Canadiens	1–3–4
October 29	Chicago Black Hawks	2–2	Boston Bruins	1–3–5
October 31	New York Rangers	4–2	Chicago Black Hawks	1–4–5
November 4	Chicago Black Hawks	1–2	Toronto Maple Leafs	1–5–5
November 5	Chicago Black Hawks	4–3	Boston Bruins	2–5–5
November 7	Toronto Maple Leafs	0–6	Chicago Black Hawks	3–5–5
November 11	Chicago Black Hawks	1–2	Montreal Canadiens	3–6–5
November 12	Chicago Black Hawks	1–4	New York Rangers	3–7–5
November 15	Detroit Red Wings	0–2	Chicago Black Hawks	4–7–5
November 19	Montreal Canadiens	3–3	Chicago Black Hawks	4–7–6
November 23	Toronto Maple Leafs	5-2	Chicago Black Hawks	4–8–6
November 26	Detroit Red Wings	1–4	Chicago Black Hawks	5–8–6
November 29	Boston Bruins	4–7	Chicago Black Hawks	6–8–6
December 2	Chicago Black Hawks	4–6	Toronto Maple Leafs	6–9–6
December 3	Montreal Canadiens	1–0	Chicago Black Hawks	6–10–6
December 6	Chicago Black Hawks	8–3	New York Rangers	7–10–6
December 7	Chicago Black Hawks	5–2	Boston Bruins	8–10–6
December 9	Chicago Black Hawks	0–3	Detroit Red Wings	8–11–6
December 10	Detroit Red Wings	3–2	Chicago Black Hawks	8–12–6
December 13	Boston Bruins	2–2	Chicago Black Hawks	8–12–7
December 17	New York Rangers	1–3	Chicago Black Hawks	9–12–7
December 21	Chicago Black Hawks	4–3	Montreal Canadiens	10–12–7
December 23	Chicago Black Hawks	3–7	New York Rangers	10–13–7
December 25	Toronto Maple Leafs	3–3	Chicago Black Hawks	10–13–8
December 27	Chicago Black Hawks	0–0	Toronto Maple Leafs	10–13–9
December 28	Chicago Black Hawks	2–2	Detroit Red Wings	10–13–10
December 30	Chicago Black Hawks	4–4	Montreal Canadiens	10–13–11
January 1	Montreal Canadiens	0–2	Chicago Black Hawks	11–13–11
January 3	New York Rangers	1–2	Chicago Black Hawks	12–13–11
January 4	Chicago Black Hawks	1–1	Detroit Red Wings	12–13–12
January 6	Chicago Black Hawks	3–6	Toronto Maple Leafs	12–14–12
January 7	Boston Bruins	2–0	Chicago Black Hawks	12–15–12
January 11	Chicago Black Hawks	6–0	Boston Bruins	13–15–12
January 13	New York Rangers	2–4	Chicago Black Hawks	14–15–12
January 14	Toronto Maple Leafs	2–2	Chicago Black Hawks	14-15–13
January 17	Montreal Canadiens	7–3	Chicago Black Hawks	14–16–13
January 21	New York Rangers	1–3	Chicago Black Hawks	15–16–13
January 24	Toronto Maple Leafs	1–2	Chicago Black Hawks	16–16–13
January 27	Chicago Black Hawks	3–5	Boston Bruins	16–17–13
January 28	Chicago Black Hawks	3–0	New York Rangers	17–17–13
January 31	Detroit Red Wings	1–4	Chicago Black Hawks	18–17–13
February 1	Chicago Black Hawks	7–4	Detroit Red Wings	19–17–13
February 3	Boston Bruins	3–6	Chicago Black Hawks	20–17–13
February 4	Toronto Maple Leafs	1–2	Chicago Black Hawks	21–17–13
February 8	Chicago Black Hawks	6–2	Boston Bruins	22–17–13
February 10	Chicago Black Hawks	1–2	New York Rangers	22–18–13
February 11	Montreal Canadiens	4–3	Chicago Black Hawks	22–19–13
February 14	New York Rangers	3–4	Chicago Black Hawks	23–19–13
February 17	Chicago Black Hawks	2–6	Montreal Canadiens	23–20–13
February 18	Boston Bruins	0–6	Chicago Black Hawks	24–20–13
February 21	Detroit Red Wings	4–6	Chicago Black Hawks	25–20–13
February 24	Chicago Black Hawks	6–1	Detroit Red Wings	26–20–13
February 25	Boston Bruins	0–8	Chicago Black Hawks	27–20–13
February 28	Chicago Black Hawks	2–4	Toronto Maple Leafs	27–21–13
March 1	Chicago Black Hawks	5–4	Boston Bruins	28–21–13
March 4	Montreal Canadiens	2–5	Chicago Black Hawks	29–21–13
March 11	Toronto Maple Leafs	3–2	Chicago Black Hawks	29–22–13
March 15	Chicago Black Hawks	5–6	Montreal Canadiens	29–23–13
March 17	Chicago Black Hawks	3–1	Toronto Maple Leafs	30–23–13
March 18	Chicago Black Hawks	1–4	Detroit Red Wings	30–24–13
March 20	Detroit Red Wings	0–3	Chicago Black Hawks	31–24–13
March 24	Chicago Black Hawks	3–5	Montreal Canadiens	31–25–13
March 25	Chicago Black Hawks	1–4	New York Rangers	31–26–13
