Series Ep #	Season 3 Ep #	Title	Director	Writer(s)	Original Airdate	Production Code
28	1	"We're Already Here"	Artie Mandelberg	Nancy Miller	June16,2009	301
29	2	"She's a Lump"	Rohn Schmidt	Mark Israel Sybil Gardner	June23,2009	302
30	3	"Watch Siggybaby Burn"	Tricia Brock	Denitria Harris-Lawrence Jessica Mecklenburg	June30,2009	303
31	4	"What Would You Do?"	Tricia Brock	Randy Walker	July7,2009	304
32	5	"Mooooooooo"	Artie Mandelberg	Elle Johnson Annie Brunner	July14,2009	305
33	6	"Am I Going to Lose Her?"	Millicent Shelton	Denitria Harris-Lawrence Jessica Mecklenburg	July21,2009	306
34	7	"That Was No First Kiss"	Rohn Schmidt	Mark Israel	July28,2009	307
35	8	"Popcorn"	Guy Ferland	Annie Brunner Sybil Gardner	August4,2009	308
36	9	"Looks Like a Lesbian Attack to Me"	Heather Capiello	Elle Johnson	August11,2009	309
37	10	"Am I Gonna Die Today?"	Tricia Brock	Mark Israel	August18,2009	310
38	11	"Let’s Talk"	Tim Hunter	Sibyl Gardner	March29,2010	311
39	12	"Hear the Birds"	Artie Mandelberg	Jessica Mecklenburg	April5,2010	312
40	13	"You Can't Save Them All, Grace"	Gary A. Randall	Matt McIntyre	April12,2010	313
41	14	"I Killed Kristin"	Artie Mandelberg	Max Barrie, Megan Lynn & Wade Solomon	May24,2010	314
42	15	"So Help You God"	Artie Mandelberg	Mark Israel	May31,2010	315
43	16	"Loose Men in Tight Jeans"	Artie Mandelberg	Lois Johnson	June7,2010	316
44	17	"You Think I'm Gonna Eat My Gun?"	Artie Mandelberg	Bob Lowry	June14,2010	317
45	18	"I Need You to Call Earl"	Tricia Brock	Denitria Harris-Lawrence	June21,2010	318
