Name	Location	Act. Units	Stacks	In Service Dates	Unit Capacity (2009)	Nameplate Capacity (2009 MW )	Owner Type	Owner(s) (2009)
A.B. Brown	Posey Co. / Vand. Co.	4	4	1 1979 2 1986 3 1991 4 2002	1 & 2 235 MW 3 & 4 88.2 MW	707	Large Corporation	Vectren
Bailly	Chesterton	2	1	1 1962 2 1968	1 190 MW 2 413 MW	604	Large Corporation	NIPSCO
Cayuga	Cayuga	2	3	1 1970 2 1972	1 531 MW 2 531 MW	1062	Large Corporation	Duke Energy Indiana
Clifty Creek	Madison	6	3	1-5 1955 6 1956	All 6: 217 MW	1,303	Conglomerate	Ohio Valley E.C.
Crawfordsville Mun.	Crawfordsville	2	2	1 1955 2 1956	1 11.5 MW 2 12.6 MW	24.1	City Utility	Crawfordsville E.L.&P.
F.B. Culley	Newburgh	3	3	1 1955 2 1966 3 1973	1 46 MW 2 104 MW 3 265 MW	415	Large Corporation	Vectren
Eagle Valley	Martinsville	4	3	1 1951 2 & 3 1953 4 1956	1 50 MW 2 & 3 69 MW 4 114 MW	302	Large Corporation	AES / IPALCO
Gallagher	New Albany	4	2	1 1958 2 1959 3 1960 4 1961	All 4: 150 MW	600	Large Corporation	Duke Energy Indiana
Gibson	Northwestern Gibson County	5	6	1 & 2 1976 3 & 4 1979 5 1982	All 5: 630 MW	3,145	Large Corp Franchised	D.E.I. 100%1-4 90.3% 5 See Gibson G.S. for details
Harding St./ (former E.W. Stout)	South Side Indianapolis	4	4	1 1958 2 1961 3 1973 4 2001	1 & 2 114 MW 3 & 4 471 MW	1,170	Large Corporation	IPALCO
Jasper Mun.	Jasper	1	1	1968	14.5 MW	14.5	City Utility	Jasper M.E.U.
Logansport	Logansport	2	1	1 1958 2 1964	1 18 MW 2 25 MW	43	City Utility	Logansport Municipal Utility
Merom	Merom	2	1	1 1982 2 1983	Both: 540 MW	1080	R.E.M.C.	Hoosier Energy
Michigan City	Michigan City	1	2 1	1974	540 MW	540	Large Corporation	NIPSCO
D.H. Mitchell	Gary	3	2	1 & 2 1958 3 1970	All 3 128 MW	384	Large Corporation	NIPSCO
Perry K.	Downtown Indianapolis	2	3	1 1925 2 1938	1 15.0 MW 2 5.0 MW	20.0	Small Corporation	Citizens Energy Group
Peru Mun.	Peru	2	2	1 1949 2 1959	1 12.5 MW 2 22.0 MW	34.5	City Utility	Peru E.L.&P.
Petersburg	Petersburg	4	4	1 1967 2 1969 3 1977 4 1986	1 253 MW 2 471 MW 3 & 4 574 MW	1,873	Large Corporation	AES / IPALCO
F.E. Ratts	Petersburg	2	2	Both 1970	Both 117 MW	233	R.E.M.C.	Hoosier Energy
Rockport	Rockport	2	3 1	1 1984 2 1989	Both: 1,300 MW	2,600	Large Corporation	Indiana - Michigan Power
R.M. Schahfer	Wheatfield	4	4	1 1976 2 1979 3 1983 4 1986	1 540 MW 2 556 MW 3 & 4 423 MW	1,943	Large Corporation	NIPSCO
State Line	Hammond	4	3	1 & 2 1955 3 & 4 1962	1 100 MW 2 125 MW 3 180 MW 4 209 MW	614	Large Corporation	Dominion
Tanner's Creek	Lawrenceburg	4	5	1 1951 2 1952 3 1954 4 1964	1 & 2: 153 MW 3 215 MW 4 580 MW	1,100	Large Corporation	Indiana - Michigan Power
Notre Dame Utility Plant	University of Notre Dame	5	3	1 1952 2 1956 3 1962 4 1967 5 2000	1 1.7 MW 2 2.0 MW 3 3.0 MW 4 5.0 MW 5 9.5 MW	21.1	College Utility	University of Notre Dame
Wabash River	Terre Haute	7	1	2-4 1955 5 1956 6 1968 7 1995	2-4 85 MW 5 95 MW 6 318 MW	680	Large Corporation	Duke Energy Indiana
Wade Utility Plant	Purdue University	2	3	1 1969 2 1995	1 10.6 MW 2 30.8 MW	41.4	College Utility	Purdue University
Warrick	Newburgh	4	3	1 1960 2 1964 3 1965 4 1970	1, 2, & 3 144 MW 4 323 MW	755	95% Franchised	Vectren to Alcoa 's Newburgh Smelter
