Season	Class	Bike	Team	Race	Pole	FLap
1996	125cc	Aprilia RS125	Scuderia AGV Aprilia	15	1	2
1997	125cc	Aprilia RS125	Nastro Azzurro Aprilia	15	4	7
1998	250cc	Aprilia RS250	Nastro Azzurro Aprilia	14	0	3
1999	250cc	Aprilia RS250	Aprilia Grand Prix Racing	16	5	8
2000	500cc	Honda NSR500	Nastro Azzurro Honda	16	0	5
2001	500cc	Honda NSR500	Nastro Azzurro Honda	16	4	10
2002	MotoGP	Honda RC211V	Repsol Honda	16	7	9
2003	MotoGP	Honda RC211V	Repsol Honda	16	9	12
2004	MotoGP	Yamaha YZR-M1	Gauloises Fortuna Yamaha	16	5	3
2005	MotoGP	Yamaha YZR-M1	Gauloises Yamaha	17	5	6
2006	MotoGP	Yamaha YZR-M1	Camel Yamaha	17	5	4
2007	MotoGP	Yamaha YZR-M1	Fiat Yamaha	18	4	3
2008	MotoGP	Yamaha YZR-M1	Fiat Yamaha	18	2	5
2009	MotoGP	Yamaha YZR-M1	Fiat Yamaha	17	7	6
2010	MotoGP	Yamaha YZR-M1	Fiat Yamaha	14	1	2
2011	MotoGP	Ducati Desmosedici GP11	Ducati Corse	17	0	1
2012	MotoGP	Ducati Desmosedici GP12	Ducati Corse	18	0	1
2013	MotoGP	Yamaha YZR-M1	Yamaha-YMR	17	0	1
Total	Total	Total	Total	293	59	88
