Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Nov 22, 1964	Cajun Classic Open Invitational	–7 (72-70-68-67=277)	5 strokes	Gay Brewer , Jack Nicklaus
May 28, 1967	Oklahoma City Open Invitational	–10 (70-72-68-68=278)	Playoff	Gary Player
Apr 28, 1968	Byron Nelson Golf Classic	–10 (67-68-65-70=270)	1 stroke	Kermit Zarley
Jan 20, 1969	Kaiser International Open Invitational	–9 (68-67=135)	1 stroke	Bruce Devlin
Apr 20, 1970	Greater New Orleans Open Invitational	–10 (68-71-69-70=278)	Playoff	Bob Charles , Howie Johnson
Jan 24, 1971	Phoenix Open Invitational	–23 (65-64-67-65=261)	2 strokes	Billy Casper , Dan Sikes
Jan 23, 1972	Dean Martin Tucson Open	–15 (68-73-67-65=273)	Playoff	George Archer
Nov 17, 1973	World Open Golf Championship	+2 (68-74-73-74-67-73-72-69=570)	3 strokes	Ben Crenshaw
Sep 22, 1974	Ohio Kings Island Open	–7 (68-68-69-72=277)	3 strokes	George Johnson
Oct 2, 1977	Anheuser-Busch Golf Classic	–16 (71-66-70-65=272)	2 strokes	George Archer
Jan 15, 1978	Phoenix Open	–12 (68-69-70-65=272)	1 stroke	Jerry Pate , Lee Trevino
