Player	Position	Starting No.#	D.O.B	Club	Height	Weight	Games
Shelden O’Hagen	Prop	1	07.10.76	Ruapehu	1.88m	110kg	35
Cole Baldwin	Hooker	2	16.07.83	Pirates	1.93m	94kg	29
Matt Gilbert	Prop	3	21.11.79	Utiku OB	1.95m	125kg	31
Michael Fitzgerald	Lock	4	08.02.87	Marist	1.97m	101kg	22
Jon Smyth	Lock	5	13.12.84	Pirates	1.97m	108kg	20
David Gower	Flanker (capt)	6	16.07.76	Ruapehu	1.86m	103kg	18
Peter Rowe	Flanker	7	07.12.81	Ruapehu	1.85m	103kg	48
Ron Katonivere	No 8	8	28.03.87	Marist	1.85m	98kg	16
Denning Tyrell	Half Back	9	09.05.76	Kaierau	1.77m	88kg	59
Leon Mason	First Five	10	06.05.78	Ratana	1.70m	82kg	53
Cameron Crowley	Wing	11	30.11.89	Marist	1.83m	80kg	10
Caleb Maraku	Mid Field	12	16.10.86	Ratana	1.80m	85kg	10
Faapulou Soolefai	Mid Field	13	08.05.77	Inglewood	1.90m	108kg	10
Johnny Mow	Wing	14	18.02.80	Coastal	1.83m	91kg	14
Asaeli Tikoirotuma	Fullback	15	24.06.86	Marist	1.83m	89kg	27
Shaun O’Donough	Prop	16	15.08.77	Ruapehu	1.84m	128kg	8
Darren Munro	Flanker	17	03.02.83	Kaierau	1.86m	91kg	3
Todd Wise	Lock	18	24.01.77	Ruapehu	1.92m	91kg	7
Fraser Hammond	Flanker	19	23.10.84	Ruapehu	1.85m	103kg	14
Scott Sargison	Loose Forward	20	11.12.78	Taihape	1.87m	100kg	9
Chris Rayner	Flanker	21	12.11.81	Marton	1.80m	88kg	2
Justin Locke	Hooker	22	03.11.80	Marist	1.80m	108kg	20
Jordan Farrington	Utility Back	23	09.01.86	Kaierau	1.86m	87kg	1
Josh Edwards	Half Back	24	28.01.83	Ratana	1.75m	76kg	30
Aaron Paranihi	Wing/Fullback	25	08.05.89	Ratana	1.82m	74kg	7
Mark Davis	Second Five	26	08.12.81	Coastal	1.75m	88kg	10
