Television service	Language	Content	HDTV	Package/Option
Sky Arte HD	Italian	arte e cultura	yes	Sky TV + Sky HD
Discovery Channel	Italian	documentaries	no	Sky Famiglia
Discovery Channel HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
Discovery Channel +1	Italian	documentaries	no	Sky Famiglia
National Geographic Channel	Italian	documentaries	no	Sky Famiglia
National Geographic Channel HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
National Geographic Channel +1	Italian	documentaries	no	Sky Famiglia
Discovery Science	Italian	documentaries	no	Sky Famiglia
Discovery Science HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
Discovery Travel & Living	Italian	viaggi	no	Sky TV
Discovery Travel & Living HD	Italian	documentaries	yes	Sky TV + Sky HD
History	Italian	documentaries	no	Sky Famiglia
History HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
History +1	Italian	documentaries	no	Sky Famiglia
Nat Geo Wild	Italian	documentaries	no	Sky Famiglia
Nat Geo Wild HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
Nat Geo Adventure HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
Gambero Rosso Channel	Italian	cucina	no	Sky TV
Gambero Rosso Channel HD	Italian	cucina	yes	Sky TV + Sky HD
Dove TV	Italian	viaggi	no	Sky TV
Marcopolo	Italian	viaggi	no	Sky TV
Alice	Italian	cucina	no	Sky TV
Leonardo	Italian	lifestyle	no	Sky TV
DeA Sapere HD	Italian	documentaries	yes	Sky Famiglia + Sky HD
Animal Planet	Italian	documentaries	no	Sky Famiglia
Wedding TV	Italian	lifestyle	no	no ( FTA )
Yacht & Sail	Italian	vela	no	no ( FTV )
Doctor's Life Channel	Italian	informazione medica	no	Riservato ai medici
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
Discovery Channel	Italian	documentaries	no	Sky Famiglia
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
National Geographic Channel	Italian	documentaries	no	Sky Famiglia
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
Discovery Science	Italian	documentaries	no	Sky Famiglia
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
Discovery Travel & Living	Italian	viaggi	no	Sky TV
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
History	Italian	documentaries	no	Sky Famiglia
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
Nat Geo Wild	Italian	documentaries	no	Sky Famiglia
Cartello promozionale Sky HD	Italian	promozionale	no	qualsiasi tranne Sky HD
Gambero Rosso Channel	Italian	cucina	no	Sky TV
QVC	Italian	lifestyle, teleshopping	no	no ( FTA )
High Life TV	English	lifestyle, moda	no	no ( FTA )
World Fashion Channel	English	moda	no	no ( FTA )
Fashion TV	English	moda	no	no ( FTA )
Fashion One	English	moda	no	no ( FTA )
Arte	francese e tedesco	general television	no	no ( FTA )
