-	6E1 series	6E1 no.	Year built	18E no.	18E series	Year rebuilt	16E no.
1	7	E1846	1978	18-359	1	2007	ex 16-404A
2	7	E1847	1978	18-360	1	2007	ex 16-404B
3	7	E1848	1978	18-264	1	2006	ex 16-405A
4	7	E1849	1978	18-265	1	2006	ex 16-405B
5	7	E1790	1977-78	18-184	1	2005	ex 16-407B
6	7	E1840	1978	18-338	1	2007	ex 16-409A
7	7	E1841	1978	18-339	1	2007	ex 16-409B
8	7	E1850	1978	18-392	1	2008	ex 16-410A
9	7	E1851	1978	18-393	1	2008	ex 16-410B
10	6	E1669	1976	18-100	1	2003	ex 16-422A
11	6	E1709	1976-77	18-503	1	2009	ex 16-422B
12	6	E1699	1976-77	18-167	1	2005	ex 16-425A
13	6	E1700	1976-77	18-169	1	2005	ex 16-425B
14	6	E1684	1976	18-345	1	2007	ex 16-427A
15	6	E1701	1976-77	18-346	1	2007	ex 16-427B
16	6	E1718	1977	18-347	1	2007	ex 16-428A
17	6	E1720	1977	18-348	1	2007	ex 16-428B
18	6	E1679	1976	18-349	1	2007	ex 16-429A
19	6	E1714	1976-77	18-350	1	2007	ex 16-429B
20	9	E2001	1981	18-029	1	2002	ex 16-500A
21	9	E2002	1981	18-030	1	2002	ex 16-500B
22	8	E1916	1979-80	18-035	1	2002	ex 16-501A
23	8	E1917	1979-80	18-036	1	2002	ex 16-501B
24	8	E1914	1979	18-077	1	2003	ex 16-503A
25	8	E1915	1979	18-078	1	2003	ex 16-503B
26	8	E1925	1979-80	18-033	1	2002	ex 16-504A
27	8	E1926	1979-80	18-034	1	2002	ex 16-504B
28	8	E1918	1979-80	18-063	1	2002	ex 16-505A
29	8	E1919	1979-80	18-067	1	2002	ex 16-505B
30	8	E1928	1979-80	18-055	1	2002	ex 16-506A
