City proper	Population City limits in millions	Density per km²	Urban area	Population Urban area in millions	Metro area	Population Metro area in millions
London, UK	7.5	4,761	Paris, France	10.1	London, UK	12–14
Berlin , Germany	3.4	3,815	London, UK	8.5	Paris, France	11.7
Madrid , Spain	3.1	1,985	Madrid , Spain	5.5	Rhine-Ruhr , Germany	10.2
Rome , Italy	2.7	5,198	Ruhr , Germany	5.3	Randstad , Netherlands	7.0
Paris , France	2.2	24,672	Barcelona , Spain	4.5	Madrid , Spain	5.8
Bucharest , Romania	1.9	9,131	Milan , Italy	3.8	Barcelona , Spain	5.3
Hamburg , Germany	1.8	2,310	Berlin , Germany	3.7	Milan , Italy	4.3
Warsaw , Poland	1.7	3,258	Rotterdam – The Hague , Netherlands	3.3	Berlin , Germany	4.3
Budapest , Hungary	1,7	3,570	Athens , Greece	3.2	Frankfurt Rhine-Main , Germany	4.1
Vienna , Austria	1.7	3,931	Naples , Italy	2.9	Athens , Greece	3.9
