Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	2003	French Open	Clay	Bob Bryan	Paul Haarhuis Yevgeny Kafelnikov	7–6 (7–3) , 6–3
Runner-up	2003	US Open	Hard	Bob Bryan	Jonas Björkman Todd Woodbridge	7–5, 0–6, 5–7
Runner-up	2004	Australian Open	Hard	Bob Bryan	Michaël Llodra Fabrice Santoro	6–7 (4–7) , 3–6
Runner-up	2005	Australian Open	Hard	Bob Bryan	Wayne Black Kevin Ullyett	4–6, 4–6
Runner-up	2005	French Open	Clay	Bob Bryan	Jonas Björkman Max Mirnyi	6–2, 1–6, 4–6
Runner-up	2005	Wimbledon	Grass	Bob Bryan	Stephen Huss Wesley Moodie	6–7 (4–7) , 3–6, 7–6 (7–2) , 3–6
Winner	2005	US Open	Hard	Bob Bryan	Jonas Björkman Max Mirnyi	6–1, 6–4
Winner	2006	Australian Open	Hard	Bob Bryan	Martin Damm Leander Paes	4–6, 6–3, 6–4
Runner-up	2006	French Open	Clay	Bob Bryan	Jonas Björkman Max Mirnyi	7–6 (7–5) , 4–6, 5–7
Winner	2006	Wimbledon	Grass	Bob Bryan	Fabrice Santoro Nenad Zimonjić	6–4, 4–6, 6–4, 6–2
Winner	2007	Australian Open	Hard	Bob Bryan	Jonas Björkman Max Mirnyi	7–5, 7–5
Runner-up	2007	Wimbledon	Grass	Bob Bryan	Arnaud Clément Michaël Llodra	7–6 (7–5) , 3–6, 4–6, 4–6
Winner	2008	US Open	Hard	Bob Bryan	Lukáš Dlouhý Leander Paes	7–6 (7–5) , 7–6 (12–10)
Winner	2009	Australian Open	Hard	Bob Bryan	Mahesh Bhupathi Mark Knowles	2–6, 7–5, 6–0
Runner-up	2009	Wimbledon	Grass	Bob Bryan	Daniel Nestor Nenad Zimonjić	6–7 (7–9) , 7–6 (7–3) , 6–7 (5–7) , 3–6
Winner	2010	Australian Open	Hard	Bob Bryan	Daniel Nestor Nenad Zimonjić	6–3, 6–7 (5–7) , 6–3
Winner	2010	US Open	Hard	Bob Bryan	Rohan Bopanna Aisam-ul-Haq Qureshi	7–6 (7–5) , 7–6 (7–4)
Winner	2011	Australian Open	Hard	Bob Bryan	Mahesh Bhupathi Leander Paes	6–3, 6–4
Winner	2011	Wimbledon	Grass	Bob Bryan	Robert Lindstedt Horia Tecău	6–3, 6–4, 7–6 (7–2)
Runner-up	2012	Australian Open	Hard	Bob Bryan	Leander Paes Radek Štěpánek	6–7 (1–7) , 2–6
Runner-up	2012	French Open	Clay	Bob Bryan	Max Mirnyi Daniel Nestor	6–4, 6–4
Winner	2012	US Open	Hard	Bob Bryan	Leander Paes Radek Štěpánek	6–3, 6–4
Winner	2013	Australian Open	Hard	Bob Bryan	Robin Haase Igor Sijsling	6–3, 6–4
Winner	2013	French Open	Clay	Bob Bryan	Michaël Llodra Nicolas Mahut	6–4, 4–6, 7–6 (7–4)
