Score	Shooter	Date	Comp	Place
385	H. Mertel ( FRG )	1969	ECH	Pilsen , Czechoslovakia
385	Rasskazov ( URS )	1969	ECH	Pilsen , Czechoslovakia
387	V. Stolypin ( URS )	1971	ECH	Meziboří , Czechoslovakia
392	Grigori Kosych ( URS )	1973	ECH	Linz , Austria
393	Harald Vollmar ( GDR )	1976	ECH	Paris , France
394	Uwe Potteck ( GDR )	1979	ECH	Graz , Austria
60 shots from 1981	60 shots from 1981	60 shots from 1981	60 shots from 1981	60 shots from 1981
582	Vladas Turla ( URS )	1981	ECH	Athens , Greece
582	I. Mandov ( BUL )	1981	ECH	Athens , Greece
587	Vladas Turla ( URS )	1982	ECH	The Hague , Netherlands
590	Vladas Turla ( URS )	1982	WCH	Caracas , Venezuela
590	Igor Basinski ( URS )	1987	ECH	Bratislava , Czechoslovakia
590	Igor Basinski ( URS )	1988	ECH	Stavanger , Norway
590	Erich Buljung ( USA )	1988	OG	Seoul , South Korea
New targets from 1989	New targets from 1989	New targets from 1989	New targets from 1989	New targets from 1989
583	Sorin Babii ( ROU )	1989	ECH	Copenhagen , Denmark
590	Sergei Pyzhianov ( URS )	1989	WCH	Sarajevo , Yugoslavia
593	Sergei Pyzhianov ( URS )	13 Oct 1989	WCF	Munich , West Germany
594	Jin Jong-oh ( KOR )	12 Apr 2009	WC	Changwon , South Korea
