Res.	Record	Opponent	Method	Event	Location
Loss	3-9	Vinicius Lima	KO (punch)	Hard Fight Championship	Cuiaba , Mato Grosso, Brazil
Loss	3-8	Geronimo dos Santos	KO (punches)	MF - Max Fight 13	São Paulo, Brazil
Win	3-7	Gerald Hill	KO (punches)	Sugar Creek Showdown 5	Hinton, Oklahoma
Loss	2-7	Rodrigo Gripp de Sousa	Submission (guillotine choke)	Open Fight	Brazil
Loss	2-6	Junior dos Santos	Submission (guillotine choke)	Minotauro Fights 5	Sao Paulo , Brazil
Loss	2-5	Assuerio Silva	TKO (punches)	Show Fight 5	Sao Paulo , Brazil
Loss	2-4	Rafael Cavalcante	TKO	Pantanal Combat	Brazil
Loss	2-3	Edson Claas Vieira	Submission (punches)	Meca World Vale Tudo 12	Rio de Janeiro , Brazil
Loss	2-2	Alessio Sakara	KO	Real Fight 1	Rio de Janeiro , Brazil
Win	2-1	Danilo Pereira	Decision (split)	Vitoria Extreme Fighting 1	Vitoria , Brazil
Win	1-1	Chico Melo	KO	Vitoria Extreme Fighting 1	Vitoria , Brazil
Loss	0-1	Claudineney Kozan	Submission (guillotine choke)	K-1 Brazil - New Stars	Curitiba , Brazil
