Name	Years	Gender	Area	Authority	Decile	Roll
Cambridge East School	1–6	Coed	Cambridge	State	9	364
Cambridge High School	9–15	Coed	Cambridge	State	9	1449
Cambridge Middle School	7–10	Coed	Cambridge	State	8	460
Cambridge School	1–6	Coed	Cambridge	State	8	299
Goodwood School	1–6	Coed	Cambridge	State	9	313
Hautapu School	1–8	Coed	Hautapu	State	10	215
Horahora School	1–8	Coed	Cambridge	State	10	32
Kaipaki School	1–8	Coed	Ohaupo	State	9	58
Karapiro School	1–6	Coed	Karapiro	State	9	74
Kihikihi School	1–6	Coed	Kihikihi	State	3	135
Koromatua School	1–8	Coed	Koromatua	State	6	213
Leamington School	1–6	Coed	Leamington	State	7	371
Nga Purapura o te Aroha	1–15	Coed	Te Awamutu	State	4	26
Ngahinapouri School	1–8	Coed	Ngahinapouri	State	10	161
Ohaupo School	1–8	Coed	Ohaupo	State	9	188
Paterangi School	1–8	Coed	Paterangi	State	8	77
Pekerau School	1–6	Coed	Te Awamutu	State	4	334
Pirongia School	1–8	Coed	Pirongia	State	9	289
Pokuru School	1–6	Coed	Pokuru	State	6	109
Puahue School	1–6	Coed	Puahue	State	7	123
Pukeatua School	1–8	Coed	Pukeatua	State	7	68
Roto-o-Rangi School	1–6	Coed	Cambridge	State	9	97
Rukuhia School	1–8	Coed	Ohaupo	State	9	100
South City Christian School	1–8	Coed	Glenview	State integrated	7	99
St Patrick's Catholic School	1–8	Coed	Te Awamutu	State integrated	7	288
St Peter's Catholic School	1–8	Coed	Cambridge	State integrated	9	172
St. Peter's School	7–15	Coed	Cambridge	Private	10	1091
Te Awamutu College	9–15	Coed	Te Awamutu	State	6	1118
Te Awamutu Intermediate	7–8	Coed	Te Awamutu	State	5	460
Te Awamutu Primary School	1–6	Coed	Te Awamutu	State	5	492
Te Miro School	1–8	Coed	Te Miro	State	10	37
Te Pahu School	1–8	Coed	Te Pahu	State	9	114
TKKM o Whakawatea	1–8	Coed	Melville	State	4	122
Waipa Christian School	1–8	Coed	Te Awamutu	State integrated	6	42
Wharepapa South School	1–8	Coed	Te Awamutu	State	8	26
