Place	Player	Country	Score	To par	Money ( $ )
1	Wayne Grady	Australia	72-67-72-71=282	–6	225,000
2	Fred Couples	United States	69-71-73-72=285	–3	135,000
3	Gil Morgan	United States	77-72-65-72=286	–2	90,000
4	Bill Britton	United States	72-74-72-71=289	+1	73,500
T5	Chip Beck	United States	71-70-78-71=290	+2	51,667
T5	Billy Mayfair	United States	70-71-75-74=290	+2	51,667
T5	Loren Roberts	United States	73-71-70-76=290	+2	51,667
T8	Mark McNulty	Zimbabwe	74-72-75-71=292	+4	34,375
T8	Don Pooley	United States	75-74-71-72=292	+4	34,375
T8	Tim Simpson	United States	71-73-75-73=292	+4	34,375
T8	Payne Stewart	United States	71-72-70-79=292	+4	34,375
