Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 2	Indiana	W 110–105 (OT)	Tyreke Evans (26)	Spencer Hawes (7)	Tyreke Evans (6)	ARCO Arena 10,021	9-8
18	December 5	@ Phoenix	L 107–115 (OT)	Tyreke Evans (21)	Kenny Thomas (18)	Tyreke Evans (7)	US Airways Center 17,747	9-9
19	December 6	Miami	L 102–115 (OT)	Tyreke Evans (30)	Jason Thompson (8)	Tyreke Evans , Jason Thompson (4)	ARCO Arena 13,186	9-10
20	December 8	@ New Orleans	L 94–96 (OT)	Tyreke Evans (25)	Jason Thompson (9)	Tyreke Evans (9)	New Orleans Arena 13,140	9-11
21	December 9	@ San Antonio	L 106–118 (OT)	Omri Casspi (20)	Jason Thompson (9)	Beno Udrih (6)	AT&T Center 17,353	9-12
22	December 12	Minnesota	W 120–100 (OT)	Jason Thompson (23)	Jason Thompson (12)	Sergio Rodríguez (9)	ARCO Arena 11,333	10-12
23	December 15	@ Portland	L 88–95 (OT)	Tyreke Evans (19)	Jason Thompson (9)	Beno Udrih (5)	Rose Garden 20,588	10-13
24	December 16	Washington	W 112–109 (OT)	Tyreke Evans (26)	Jason Thompson (13)	Tyreke Evans (6)	ARCO Arena 16,579	11-13
25	December 18	@ Minnesota	L 96–116 (OT)	Omri Casspi (21)	Jason Thompson	Tyreke Evans (8)	Target Center 13,144	11-14
26	December 19	@ Milwaukee	W 96–95 (OT)	Tyreke Evans (24)	Jason Thompson (10)	Jason Thompson (4)	Bradley Center 13,745	12-14
27	December 21	@ Chicago	W 102–98 (OT)	Tyreke Evans (23)	Tyreke Evans (8)	Sergio Rodríguez (7)	United Center 19,631	13-14
28	December 23	Cleveland	L 104–117 (OT)	Tyreke Evans (28)	Spencer Hawes (12)	Tyreke Evans (5)	ARCO Arena 16,407	13-15
29	December 26	LA Lakers	L 103–112 (OT)	Beno Udrih (23)	Omri Casspi (10)	Spencer Hawes (7)	ARCO Arena 17,345	13-16
30	December 28	Denver	W 106–101 (OT)	Andrés Nocioni (21)	Jason Thompson (11)	Beno Udrih (7)	ARCO Arena 14,548	14-16
