Coach	Years	Record	Conference Record	Overall Win Percentage
James C. Elsom	1898–1904	25-14	–	64%
Emmett Angell	1904–1908	43-15	19-5	74%
Haskell Noyes	1908–1911	26-15	18-15	63%
Walter Meanwell	1911–1917	92-9	63-9	91%
Guy Lowman	1917–1920	34-19	19-17	64%
Walter Meanwell	1920–1934	154-90	95-71	63%
Bud Foster	1934–1959	265-267	143-182	49%
John E. Erickson	1959–1968	100-114	52-74	46%
John Powless	1968–1976	88-108	42-78	44%
Bill Cofield	1976–1982	63-101	32-76	38%
Steve Yoder	1982–1992	128-165	50-130	43%
Stu Jackson	1992–1994	32-25	15-21	56%
Stan Van Gundy	1994–1995	13-14	7-11	48%
Dick Bennett	1995–2000	93-69	39-45	57%
Brad Soderberg	2000–2001	16-10	9-7	61%
Bo Ryan	2001–present	291-113	144-60	72%
Total	1898–2013	1463-1148	747-801	56%
