Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
1. FC Nuremberg	Thomas von Heesen	Resigned	28 August 2008	Michael Oenning	5 September 2008
MSV Duisburg	Rudolf Bommer	Sacked	9 November 2008	Peter Neururer	16 November 2008
F.C. Hansa Rostock	Frank Pagelsdorf	Sacked	10 November 2008	Dieter Eilts	21 November 2008
SV Wehen Wiesbaden	Christian Hock	Sacked	17 December 2008	Wolfgang Frank	19 December 2008
TSV 1860 Munich	Marco Kurz	Sacked	24 February 2009	Uwe Wolf (Interim)	24 February 2009
Rot Weiss Ahlen	Christian Wück	Sacked	3 March 2009	Stefan Emmerling	16 April 2009
F.C. Hansa Rostock	Dieter Eilts	Sacked	6 March 2009	Andreas Zachhuber	8 March 2009
SV Wehen Wiesbaden	Wolfgang Frank	Sacked	23 March 2009	Sandro Schwarz (Interim)	23 March 2009
FC Augsburg	Holger Fach	Sacked	13 April 2009	Jos Luhukay	14 April 2009
FC Ingolstadt 04	Thorsten Fink	Sacked	21 April 2009	Horst Köppel	26 April 2009
1. FC Kaiserslautern	Milan Šašić	Sacked	4 May 2009	Alois Schwartz (interim)	4 May 2009
TSV 1860 Munich	Uwe Wolf (Interim)	Released from duties	13 May 2009	Ewald Lienen	13 May 2009
