Date	Unit	Aircraft	Opponent	Location
15 July 1916	23	F.E.2b	AGO C (DESF)	Bapaume
22 August 1916	11	F.E.2b (6994)	Roland C.II (OOC)	S of Bapaume
25 August 1916	11	F.E.2b (6994)	Aviatik C (OOC)	Bapaume
14 September 1916	11	F.E.2b (6994)	Two-seater (OOC)	SE of Bapaume
22 September 1916	11	F.E.2b	Scout (OOC)	Logeast
10 October 1916	11	F.E.2b (7678)	Scout (OOC)	Bapaume
17 October 1916	11	F.E.2b (7027)	Albatros D.I (OOC)	Mory
20 October 1916	11	F.E.2b (7027)	Albatros D.I (OOC)	Douxcette - Ayette
6 May 1917	43	Sopwith 1½ Strutter (A1010)	Two-seater (DES)	S of Avion
23 July 1917	43	Sopwith 1½ Strutter (A8785)	Albatros D.III (OOC)	NE of Lens
8 August 1917	25	D.H.4 (A7543)	Albatros D.V (OOC)	Henin Lietard
14 August 1917	25	D.H.4 (A7543)	Two-seater (OOC)	Lens
