Game	March	Opponent	Score	Decision	Record
65	5	@ New York Islanders	4 - 2	Lundqvist	33-24-8
66	8	Boston Bruins	4 - 3	Lundqvist	34-24-8
67	9	@ Carolina Hurricanes	3 - 0	Valiquette	34-25-8
68	12	@ Nashville Predators	4 - 2	Lundqvist	35-25-8
69	14	@ Philadelphia Flyers	4 - 2	Lundqvist	35-26-8
70	15	Philadelphia Flyers	4 - 1	Lundqvist	36-26-8
71	17	@ Montreal Canadiens	4 - 3 SO	Lundqvist	37-26-8
72	21	Buffalo Sabres	5 - 3	Lundqvist	38-26-8
73	22	Ottawa Senators	2 - 1	Lundqvist	38-27-8
74	24	Minnesota Wild	2 - 1	Lundqvist	39-27-8
75	26	@ Atlanta Thrashers	5 - 4 SO	Valiquette	39-27-9
76	28	@ Pittsburgh Penguins	4 - 3	Lundqvist	39-28-9
77	30	New Jersey Devils	3 - 0	Lundqvist	40-28-9
