Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - Ford	90	2:14:45.1	8
Jack Brabham	Brabham - Repco	90	+ 23.6	3
Denny Hulme	Brabham - Repco	90	+ 25.7	7
Chris Amon	Ferrari	90	+ 27.3	9
Mike Parkes	Ferrari	89	+ 1 Lap	10
Ludovico Scarfiotti	Ferrari	89	+ 1 Lap	15
Chris Irwin	Lotus - BRM	88	+ 2 Laps	13
Mike Spence	BRM	87	+ 3 Laps	12
Bob Anderson	Brabham - Climax	86	+ 4 Laps	17
Jo Siffert	Cooper - Maserati	83	+ 7 Laps	16
John Surtees	Honda	73	Throttle	6
Jackie Stewart	BRM	51	Brakes	11
Jochen Rindt	Cooper - Maserati	41	Suspension	4
Pedro Rodríguez	Cooper - Maserati	39	Gearbox	5
Graham Hill	Lotus - Ford	11	Engine	1
Dan Gurney	Eagle - Weslake	8	Injection	2
Bruce McLaren	McLaren - BRM	1	Accident	14
