2002/ 03	2004/ 05	2006/ 07	2007/ 08	2008/ 09	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR	UR	UR	73	59	57	58	42	59
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not Held	Not Held	Not Held	Not Held	Non-Ranking	Non-Ranking	Non-Ranking	Non-Ranking	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ	LQ
NH	NH	NH	LQ	LQ	LQ	LQ	LQ	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ
A	A	LQ	LQ	LQ	LQ	QF	LQ	2R
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ	LQ	LQ
A	A	LQ	LQ	LQ	LQ	LQ	1R	LQ
A	A	LQ	RR	LQ	1R	LQ	LQ	1R
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	DNQ	DNQ	1R
Not Held	A	LQ	LQ	LQ	LQ	LQ	LQ	WR
LQ	LQ	LQ	LQ	LQ	LQ	LQ	LQ	LQ
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
A	A	LQ	LQ	LQ	LQ	A	A	A
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	A	1R	2R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
A	A	LQ	NR	Not held	Not held	Not held	Not held	Not held
Not held	Not held	LQ	LQ	LQ	Not held	Not held	Not held	Not held
Not held	Not held	Not held	Not held	LQ	Not held	Not held	Not held	Not held
