Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	72	1:37:11.747	1
David Coulthard	McLaren - Mercedes	72	+1.102	2
Michael Schumacher	Ferrari	72	+1:00.550	4
Alexander Wurz	Benetton - Playlife	72	+1:07.453	5
Heinz-Harald Frentzen	Williams - Mecachrome	71	+1 Lap	3
Giancarlo Fisichella	Benetton - Playlife	71	+1 Lap	7
Jacques Villeneuve	Williams - Mecachrome	71	+1 Lap	10
Eddie Irvine	Ferrari	71	+1 Lap	6
Jean Alesi	Sauber - Petronas	71	+1 Lap	15
Jan Magnussen	Stewart - Ford	70	+2 Laps	16
Johnny Herbert	Sauber - Petronas	67	Physical	14
Damon Hill	Jordan - Mugen-Honda	70	Disqualified	11
Olivier Panis	Prost - Peugeot	63	Engine	9
Rubens Barrichello	Stewart - Ford	56	Gearbox	13
Ricardo Rosset	Tyrrell - Ford	52	Gearbox	21
Esteban Tuero	Minardi - Ford	44	Throttle	19
Pedro Diniz	Arrows	26	Gearbox	22
Toranosuke Takagi	Tyrrell - Ford	19	Engine	17
Mika Salo	Arrows	18	Engine	20
Jarno Trulli	Prost - Peugeot	17	Fuel Pump	12
Shinji Nakano	Minardi - Ford	3	Spun off	18
Ralf Schumacher	Jordan - Mugen-Honda	0	Spun off	8
