Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 1	Rockets	L 95–106 (OT)	Jazz	Boozer (30)	19,911	1–1
November 3	Warriors	W 133–110 (OT)	Jazz	Williams (30)	19,911	2–1
November 4	Jazz	L 109–119 (OT)	Lakers	Williams (26)	18,997	2–2
November 7	Cavaliers	W 103–101 (OT)	Jazz	Millsap (24)	19,911	3–2
November 9	Jazz	W 103–101 (OT)	SuperSonics	Boozer (27)	15,980	4–2
November 10	Grizzlies	W 118–94 (OT)	Jazz	Boozer (31)	19,771	5–2
November 12	Kings	W 117–93 (OT)	Jazz	Boozer (32)	19,911	6–2
November 14	Jazz	W 92–88 (OT)	Raptors	Boozer (23)	17,337	7–2
November 16	Jazz	L 94–99 (OT)	Cavaliers	Boozer (26)	19,862	7–3
November 17	Jazz	L 97–117 (OT)	Pacers	Boozer (19)	12,447	7–4
November 19	Nets	W 102–75 (OT)	Jazz	Williams (20)	19,911	8–4
November 23	Hornets	W 99–71 (OT)	Jazz	Boozer (19)	19,911	9–4
November 25	Jazz	W 103–93 (OT)	Pistons	Boozer (36)	22,076	10–4
November 26	Jazz	L 109–113 (OT)	Knicks	Boozer (30)	18,816	10–5
November 28	Jazz	W 106–95 (OT)	76ers	Boozer (26)	11,006	11–5
November 30	Lakers	W 120–96 (OT)	Jazz	Williams (35)	19,911	12–5
