Event	Date	Location	Winning skip	Runner-up skip
Baden Masters	Sept. 7-9	Baden , Switzerland	Brad Gushue	Andy Kapp
Radisson SAS Oslo Cup	Sept. 20-23	Oslo , Norway	Kevin Koe	Pål Trulsen
AMJ Campbell Shorty Jenkins Classic	Sept. 20-23	Brockville, Ontario	Glenn Howard	Brad Gushue
Boston Pizza September Shoot-Out	Sept. 21-23	Edmonton, Alberta	Pat Simmons	Brent MacDonald
Twin Anchors Houseboat Cashspiel	Sept. 27-30	Vernon, British Columbia	Bob Ursel	Sean Geall
Mac Ice Classic	Oct. 4-8	Ottawa, Ontario	Jean-Michel Ménard	Greg Richardson
Swiss Cup Basel	Oct. 5-8	Basel , Switzerland	David Murdoch	Stefan Karnusian
PriceWaterHouseCoopers Westcoast Curling Classic	Oct. 5-9	New Westminster, British Columbia	Kevin Koe	Bob Ursel
Valour Road Open	Oct. 5-8	Winnipeg, Manitoba	Allan Lyburn	Peter Nicholls
Don Bartlett Classic	Oct. 11-14	Gander, Newfoundland and Labrador	Shawn Adams	Randy Ferbey
St. Paul Cashspiel	Oct. 12-15	St. Paul, Minnesota	Craig Disher	Trevor Clifford
Meyers Norris Penny Charity Classic	Oct. 12-15	Medicine Hat, Alberta	James Pahl	Pat Simmons
Coupe Quebec La Cage aux Sports	Oct. 18-21	Quebec, Quebec	François Gagné	Bryan Cochrane
Bern Open	Oct. 19-22	Bern , Switzerland	Russ Howard	Ralph Stöckli
Strauss Crown of Curling	Oct. 19-22	Kamloops, British Columbia	Bryan Miki	Greg McAulay
Flint Energy Curling Classic	Oct. 19-22	Bonnyville, Alberta	Kevin Martin	Randy Ferbey
Meyers Norris Penny Prairie Classic	Oct. 26-29	Portage la Prairie, Manitoba	Glenn Howard	Joel Jordison
Red Deer Curling Classic	Nov. 1-4	Red Deer, Alberta	Kurt Balderston	Rob Armitage
Cactus Pheasant Classic	Nov. 1-4	Brooks, Alberta	Kevin Martin	Wayne Middaugh
Yukon Title Curling Classic	Nov. 8-11	Fairbanks, Alaska	Jason Larway	Stu Harris
Duluth Cash Spiel	Nov. 9-12	Duluth, Minnesota	Jeff Currie	Craig Brown
Whites Drug Store Classic	Nov. 9-12	Swan River, Manitoba	Joel Jordison	Darrell McKee
Best Western Wayside Inn Curling Classic	Nov. 9-12	Lloydminster, Alberta	Jeff Stoughton	Glenn Howard
Lucerne Curling Trophy	Nov. 15-18	Luzern , Switzerland	Thomas Ulsrud	Tom Brewster
Pharmasave Gimli Classic	Nov. 16-18	Gimli, Manitoba	Chris Galbraith	Daley Peters
Roaming Buffalo Classic	Nov. 16-18	Wainwright, Alberta	Adrian Bakker	Shane Park
McDonalds Invitational	Nov. 16-19	Brantford, Ontario	Glenn Howard	Kirk Ziola
Challenge Casino De Charlevoix	Nov. 21-25	Clermont, Quebec	Peter Steski	Robert Desjardins
Skookum/WCT Yukon Cash Spiel	Nov. 22-25	Whitehorse, Yukon	Steve Waatainen	Ron Chrenek
Interlake Pharmacy Classic	Nov. 22-26	Stonewall, Manitoba	Kerry Burtnyk	Vic Peters
BDO Classic Canadian Open	Nov. 28-Dec. 2	Quebec, Quebec	Kevin Martin	Shawn Adams
Grande Prairie Cash Spiel	Nov. 30-Dec. 2	Grande Prairie, Alberta	Jeff Erickson	James Pahl
Dauphin Clinic Pharmacy Cash Spiel	Nov. 30-Dec. 3	Dauphin, Manitoba	Chris Galbraith	Reid Carruthers
Morgan Stanley Curling Classic	Nov. 30-Dec. 2	Madison, Wisconsin	Craig Brown	Trevor Bonot
Point Optical Charity Curling Classic	Dec. 7-10	Saskatoon, Saskatchewan	Randy Woytowich	Darrell McKee
John Shea Insurance Canada Cup Qualifier	Dec. 12-16	Ottawa, Ontario	Kevin Koe	Mike McEwen
Curl Mesabi Cash Spiel	Dec. 14-16	Eveleth, Minnesota	Pete Fenson	Craig Brown
The National	Dec. 20-23	Port Hawkesbury, Nova Scotia	Kevin Martin	Kevin Koe
Ramada Perth Masters	Jan. 3-6	Perth, Scotland	Glenn Howard	Kerry Burtnyk
Masters of Curling	Jan. 23-27	Saskatoon, Saskatchewan	Glenn Howard	Kevin Koe
Prague Grand Prix	Jan. 31-Feb. 1	Prague , Czech Republic	Stefano Ferronato	Markku Uusipaavalniemi
Bear Mountain Arena Classic	Apr. 3-6	Victoria, British Columbia	Bob Ursel	Wayne Middaugh
Tylenol Players Championship	Apr. 15-20	St. John's, Newfoundland and Labrador	Glenn Howard	Kevin Martin
