Heat	Lane	Name	Nationality	Time
3	5	Diana Mocanu	Romania	2:09.21
5	3	Roxana Maracineanu	France	2:11.01
5	4	Nina Zhivanevskaya	Spain	2:11.60
4	4	Miki Nakao	Japan	2:11.69
3	4	Tomoko Hagiwara	Japan	2:12.15
4	6	Lindsay Benko	United States	2:12.72
4	3	Joanna Fargus	Great Britain	2:12.99
5	5	Antje Buschschulte	Germany	2:13.42
5	6	Amanda Adkins	United States	2:13.54
5	7	Louise Ørnstedt	Denmark	2:13.61
3	3	Cathleen Rund	Germany	2:13.87
4	5	Helen Don-Duncan	Great Britain	2:14.18
3	6	Kelly Stefanyshyn	Canada	2:14.28
3	2	Clementine Stoney	Australia	2:14.61
3	7	Ivette María	Spain	2:14.78
3	1	Charlene Wittstock	South Africa	2:15.10
2	2	Nadiya Beshevli	Ukraine	2:15.86
4	7	Zhan Shu	China	2:15.97
4	1	Irina Raevskaya	Russia	2:16.13
4	8	Helen Norfolk	New Zealand	2:16.22
2	4	Anu Koivisto	Finland	2:16.23
5	8	Yseult Gervy	Belgium	2:16.67
5	1	Aleksandra Miciul	Poland	2:16.71
4	2	Dyana Calub	Australia	2:17.05
2	5	Aikaterini Bliamou	Greece	2:18.07
2	3	Ana Maria Gonzalez	Cuba	2:19.35
2	8	Jana Korbasová	Slovakia	2:19.37
2	6	Annamária Kiss	Hungary	2:20.40
2	7	Şadan Derya Erke	Turkey	2:21.28
2	1	Chonlathorn Vorathamrong	Thailand	2:21.59
1	5	Marica Stražmešter	Yugoslavia	2:22.59
1	3	Kolbrún Yr Kristjánsdóttir	Iceland	2:24.33
1	6	Kuan Chia-Hsien	Chinese Taipei	2:24.61
1	4	Petra Banović	Croatia	2:25.42
3	8	Choi Soo-Min	South Korea	2:26.42
5	2	Yuliya Fomenko	Russia	DNS
