Week	Date	Opponent	Result	Attendance
1	Bye	Bye	Bye	Bye
2	September 19, 1999	at Cincinnati Bengals	W 34-7	47,660
3	September 26, 1999	Indianapolis Colts	L 27-19	56,942
4	October 3, 1999	Kansas City Chiefs	W 21–14	58,099
5	October 10, 1999	at Detroit Lions	W 20–10	61,481
6	October 17, 1999	Seattle Seahawks	W 13-10	59,432
7	October 24, 1999	Green Bay Packers	L 31-3	68,274
8	October 31, 1999	at Kansas City Chiefs	L 34-0	78,473
9	November 7, 1999	Denver Broncos	L 33-17	61,204
10	November 14, 1999	at Oakland Raiders	L 28–9	43,353
11	November 21, 1999	Chicago Bears	L 23-20	56,055
12	November 28, 1999	at Minnesota Vikings	L 35-27	64,232
13	December 5, 1999	Cleveland Browns	W 23-10	53,147
14	December 12, 1999	at Seattle Seahawks	W 19-16	66,318
15	December 19, 1999	at Miami Dolphins	L 12-9	73,765
16	December 26, 1999	Oakland Raiders	W 23–20	63,846
17	January 2, 2000	at Denver Broncos	W 12-6	69,278
