No in series	No in season	Title	Directed by	Written by	Original air date	Production code
195	1	"The One Where No One Proposes"	Kevin S. Bright	Sherry Bilsing-Graham & Ellen Plummer	September26,2002	175251
196	2	"The One Where Emma Cries"	Sheldon Epps	Dana Klein Borkow	October3,2002	175252
197	3	"The One with the Pediatrician"	Roger Christiansen	Brian Buckner & Sebastian Jones	October10,2002	175254
198	4	"The One with the Sharks"	Ben Weiss	Andrew Reich & Ted Cohen	October17,2002	175253
199	5	"The One with Phoebe's Birthday Dinner"	David Schwimmer	Scott Silveri	October31,2002	175255
200	6	"The One with the Male Nanny"	Kevin S. Bright	David Crane & Marta Kauffman	November7,2002	175256
201	7	"The One with Ross's Inappropriate Song"	Gary Halvorson	Robert Carlock	November14,2002	175257
202	8	"The One with Rachel's Other Sister"	Kevin S. Bright	Shana Goldberg-Meehan	November21,2002	175258
203	9	"The One with Rachel's Phone Number"	Ben Weiss	Mark Kunerth	December5,2002	175259
204	10	"The One with Christmas in Tulsa"	Kevin S. Bright	Doty Abrams	December12,2002	175260
205	11	"The One Where Rachel Goes Back to Work"	Gary Halvorson	Story: Judd Rubin Teleplay: Peter Tibbals	January9,2003	175261
208	14	"The One with the Blind Dates"	Gary Halvorson	Sherry Bilsing-Graham & Ellen Plummer	February6,2003	175265
209	15	"The One with the Mugging"	Gary Halvorson	Peter Tibbals	February13,2003	175264
210	16	"The One with the Boob Job"	Gary Halvorson	Mark Kunerth	February20,2003	175266
213	19	"The One with Rachel's Dream"	Terry Hughes	Story: Dana Klein Borkow Teleplay: Mark Kunerth	April17,2003	175269
215	21	"The One with the Fertility Test"	Gary Halvorson	Story: Scott Silveri Teleplay: Robert Carlock	May1,2003	175271
