Settlement	Cyrillic Name	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Pećinci	Пећинци	village	2581	Serbs	Orthodox Christianity
Ašanja	Ашања	village	1365	Serbs	Orthodox Christianity
Brestač	Брестач	village	934	Serbs	Orthodox Christianity
Deč	Деч	village	1491	Serbs	Orthodox Christianity
Donji Tovarnik	Доњи Товарник	village	973	Serbs	Orthodox Christianity
Karlovčić	Карловчић	village	1078	Serbs	Orthodox Christianity
Kupinovo	Купиново	village	1866	Serbs	Orthodox Christianity
Obrež	Обреж	village	1308	Serbs	Orthodox Christianity
Ogar	Огар	village	1040	Serbs	Orthodox Christianity
Popinci	Попинци	village	1166	Serbs	Orthodox Christianity
Prhovo	Прхово	village	784	Serbs	Orthodox Christianity
Sibač	Сибач	village	468	Serbs	Orthodox Christianity
Sremski Mihaljevci	Сремски Михаљевци	village	769	Serbs	Orthodox Christianity
Subotište	Суботиште	village	844	Serbs	Orthodox Christianity
