Episode	Title	Story	Adapted by	Director	Airdate	Exists?
401	“Taste of Evil”	John Wiles	n/a	Michael Ferguson	21 April 1971	No
402	“To Lay A Ghost”	Michael J. Bird	n/a	Ken Hannam	28 April 1971	Yes
403	“This Body Is Mine”	John Tully	n/a	Eric Hills	5 May 1971	Yes
404	“Deathday”	Angus Hall	Brian Hayles	Raymond Menmuir	12 May 1971	Yes
405	“The Sons and Daughters of Tomorrow”	Edward Boyd	n/a	Gerald Blake	19 May 1971	No
406	“Welcome Home”	Moris Farhi	n/a	Eric Hills	26 May 1971	Yes
407	“The Last Witness”	Martin Worth	n/a	Michael Ferguson	2 June 1971	No
408	“The Man in My Head”	John Wiles	n/a	Peter Cregeen	9 June 1971	Yes
409	“The Chopper”	Nigel Kneale	n/a	Peter Cregeen	16 June 1971	No
410	“The Uninvited”	Michael J. Bird	n/a	Eric Hills	23 June 1971	No
