District	Vacator	Reason for change	Successor	Date successor seated
Wisconsin 2nd	Vacant	Robert K. Henry died during previous Congress	Glenn R. Davis (R)	Seated April 22, 1947
Washington 3rd	Fred Norman (R)	Died April 18, 1947	Russell Mack (R)	Seated June 7, 1947
Pennsylvania 8th	Charles Gerlach (R)	Died May 5, 1947	Franklin Lichtenwalter (R)	Seated September 9, 1947
Michigan 11th	Fred Bradley (R)	Died May 24, 1947	Charles Potter (R)	Seated August 26, 1947
Texas 9th	Joseph J. Mansfield (D)	Died July 12, 1947	Clark W. Thompson (D)	Seated August 23, 1947
Massachusetts 9th	Charles Gifford (R)	Died August 23, 1947	Donald Nicholson (R)	Seated November 18, 1947
Indiana 10th	Raymond S. Springer (R)	Died August 28, 1947	Ralph Harvey (R)	Seated November 4, 1947
Virginia 4th	Patrick Drewry (D)	Died December 21, 1947	Watkins Abbitt (D)	Seated February 17, 1948
New York 24th	Benjamin J. Rabin (D)	Resigned December 31, 1947	Leo Isacson (AL)	Seated February 17, 1948
Kentucky 9th	John Robsion (R)	Died February 17, 1948	William Lewis (R)	Seated April 24, 1948
Missouri 10th	Orville Zimmerman (D)	Died April 7, 1948	Paul Jones (D)	Seated November 2, 1948
Illinois 7th	Thomas L. Owens (R)	Died June 7, 1948	Vacant until next Congress	Vacant until next Congress
Texas 15th	Milton H. West (D)	Died October 28, 1948	Lloyd Bentsen (D)	Seated December 4, 1948
