Year	Player	Team	League	Position
1962	Maury Wills Category:Articles with hCards	Los Angeles Dodgers	National	SS
1962	Leon Wagner Category:Articles with hCards	Los Angeles Angels	American	LF
1963	Willie Mays Category:Articles with hCards	San Francisco Giants	National	CF
1964	Johnny Callison Category:Articles with hCards	Philadelphia Phillies	National	RF
1965	Juan Marichal Category:Articles with hCards	San Francisco Giants	National	P
1966	Brooks Robinson Category:Articles with hCards	Baltimore Orioles	American	3B
1967	Tony Perez Category:Articles with hCards	Cincinnati Reds	National	3B
1968	Willie Mays Category:Articles with hCards (2)	San Francisco Giants	National	CF
1969	Willie McCovey Category:Articles with hCards	San Francisco Giants	National	1B
1970	Carl Yastrzemski Category:Articles with hCards	Boston Red Sox	American	CF / 1B
1971	Frank Robinson Category:Articles with hCards	Baltimore Orioles	American	RF
1972	Joe Morgan Category:Articles with hCards	Cincinnati Reds	National	2B
1973	Bobby Bonds Category:Articles with hCards	San Francisco Giants	National	RF
1974	Steve Garvey Category:Articles with hCards	Los Angeles Dodgers	National	1B
1975 *	Bill Madlock Category:Articles with hCards	Chicago Cubs	National	3B
1975 *	Jon Matlack Category:Articles with hCards	New York Mets	National	P
1976	George Foster Category:Articles with hCards	Cincinnati Reds	National	LF
1977	Don Sutton Category:Articles with hCards	Los Angeles Dodgers	National	P
1978	Steve Garvey Category:Articles with hCards (2)	Los Angeles Dodgers	National	1B
1979	Dave Parker Category:Articles with hCards	Pittsburgh Pirates	National	RF
1980	Ken Griffey, Sr. Category:Articles with hCards	Cincinnati Reds	National	RF
1981	Gary Carter Category:Articles with hCards	Montreal Expos	National	C
1982	Dave Concepción Category:Articles with hCards	Cincinnati Reds	National	SS
1983	Fred Lynn Category:Articles with hCards	California Angels	American	CF
1984	Gary Carter Category:Articles with hCards (2)	Montreal Expos	National	C
1985	LaMarr Hoyt Category:Articles with hCards	San Diego Padres	National	P
1986	Roger Clemens Category:Articles with hCards	Boston Red Sox	American	P
1987	Tim Raines Category:Articles with hCards	Montreal Expos	National	LF
1988	Terry Steinbach Category:Articles with hCards	Oakland Athletics	American	C
1989	Bo Jackson Category:Articles with hCards	Kansas City Royals	American	LF
1990	Julio Franco Category:Articles with hCards	Texas Rangers	American	2B
1991	Cal Ripken, Jr. Category:Articles with hCards	Baltimore Orioles	American	SS
1992	Ken Griffey, Jr. Category:Articles with hCards	Seattle Mariners	American	CF
1993	Kirby Puckett Category:Articles with hCards	Minnesota Twins	American	CF
1994	Fred McGriff Category:Articles with hCards	Atlanta Braves	National	1B
1995	Jeff Conine Category:Articles with hCards	Florida Marlins	National	LF
1996	Mike Piazza Category:Articles with hCards	Los Angeles Dodgers	National	C
1997	Sandy Alomar, Jr. Category:Articles with hCards	Cleveland Indians	American	C
1998	Roberto Alomar Category:Articles with hCards	Baltimore Orioles	American	2B
1999	Pedro Martínez Category:Articles with hCards	Boston Red Sox	American	P
2000	Derek Jeter Category:Articles with hCards ^	New York Yankees	American	SS
2001	Cal Ripken, Jr. Category:Articles with hCards (2)	Baltimore Orioles	American	SS / 3B
2002	—	—	—	—
2003	Garret Anderson Category:Articles with hCards	Anaheim Angels	American	LF
2004	Alfonso Soriano Category:Articles with hCards ^	Texas Rangers	American	LF
2005	Miguel Tejada Category:Articles with hCards ^	Baltimore Orioles	American	SS
2006	Michael Young Category:Articles with hCards ^	Texas Rangers	American	SS
2007	Ichiro Suzuki Category:Articles with hCards ^	Seattle Mariners	American	CF
2008	J. D. Drew Category:Articles with hCards	Boston Red Sox	American	RF
2009	Carl Crawford Category:Articles with hCards ^	Tampa Bay Rays	American	LF
2010	Brian McCann Category:Articles with hCards ^	Atlanta Braves	National	C
2011	Prince Fielder Category:Articles with hCards ^	Milwaukee Brewers	National	1B
2012	Melky Cabrera Category:Articles with hCards ^	San Francisco Giants	National	CF
2013	Mariano Rivera Category:Articles with hCards	New York Yankees	American	P
