Year	Song name	Film name	Co-singer	Music director	Lyricist	Language
1980	"Mohabbat Ek Wada Hai"	Kali Ghata	Asha Bhosle	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1980	"Bhaag Phoote"	Hum Nahi Sudhrenge	Dilraj Kaur & Bhushan Mehta	Ravindra Jain	Ravindra Jain	Hindi
1980	"Yeh Kaisa Insaf"	Yeh Kaisa Insaf ?	Bhushan Mehta	Ravindra Jain	Ravindra Jain	Hindi
1980	"Tere Dwar Khule To Mere Bhagya Khule"	Badrinath Dham	Mahendra Kapoor	Ravindra Jain	Ravindra Jain	Hindi
1980	"Ankhen Kholo Jago Jago"	Badrinath Dham	Mohammad Rafi	Ravindra Jain	Ravindra Jain	Hindi
1980	"Main To Bechoon Chakku Chhuri"	Badrinath Dham	Solo	Ravindra Jain	Ravindra Jain	Hindi
1980	"Na Na Na Yeh Kya Karne Lage Ho"	Bombay 405 Miles	Solo	Kalyanji-Anandji	Indeevar	Hindi
1980	"Khwab Ko Badal Denge"	Khwab	K. J. Yesudas	Ravindra Jain	Ravindra Jain	Hindi
1980	"Ek Aas Liye Vishwash Liye"	Khwab	Suresh Wadkar & Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1980	"Na Jane Aise Ho Gaya Kaise"	Sajan Mere Main Sajan Ki	K. J. Yesudas	Ravindra Jain	Ravindra Jain	Hindi
1980	"Sajan Mere Main Sajan Ki"	Sajan Mere Main Sajan Ki	Solo	Ravindra Jain	Ravindra Jain	Hindi
1980	"Mera Dil Kisne Liya"	Oh Bewafa	Suresh Wadkar	Vedpal Verma	Sawan Kumar	Hindi
1980	"Hain Jo Yehi Pyar Ka Trailor"	Insaaf Ka Tarazu	Mahendra Kapoor & Asha Bhosle	Ravindra Jain	Ravindra Jain	Hindi
1980	"Sau Sau Saal Jiyo Hamari Sasuji"	Sau Din Saas Ke	Asha Bhosle	Kalyanji-Anandji	Indeevar	Hindi
1980	"Moti Palley Pai Gayi"	Sau Din Saas Ke	Mahendra Kapoor	Kalyanji-Anandji	Indeevar	Hindi
1980	"Tu Is Tarah Se Meri Zindagi Mein Saamil Hai"	Aap To Aise Na The	Solo	Usha Khanna	Nida Fazli	Hindi
1980	"Hum Tere Bina Bhi Nahin Ji Sakte"	Jwalamukhi	Kishore Kumar , Asha Bhosle & Mahendra Kapoor	Kalyanji-Anandji	Anjaan	Hindi
1980	"Mere Saiyanji Bade Harjaee"	Kaala Pani	Anuradha Paudwal	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1979	"Kharido Koi Kharido, Kharido Mujhe Kharido"	Raja Harishchandra	Mohammad Rafi	Ravindra Jain	Ravindra Jain	Hindi
1979	"Naacho Re Gaao Re Naacho"	Raja Harishchandra	Mahendra Kapoor	Ravindra Jain	Ravindra Jain	Hindi
1979	"Mein Rambha Roop Ki Rani"	Har Har Gange	Asha Bhosle	Ravindra Jain	Ravindra Jain	Hindi
1979	"Gaddi Jaandi Yeh Chalanga Mar Di"	Dada	Mohammad Rafi , Shailendra Singh & Dilraj Kaur	Usha Khanna	Ravindra Jain	Hindi
1979	"Tere Chahne Wale Aaye Hain"	Aatish	Mohammad Rafi , Asha Bhosle & Bhushan Mehta	Ravindra Jain	Ravindra Jain	Hindi
1979	"Govinda Gopala", "Koi Mat Jariyo Ri Mere Bhag Pe"	Gopal Krishna	Solo	Ravindra Jain	Ravindra Jain	Hindi
1979	"Neer Bharan Ka Karke Bahana"	Gopal Krishna	K. J. Yesudas	Ravindra Jain	Ravindra Jain	Hindi
1979	"Aayo Phagun Hathilo"	Gopal Krishna	Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1979	"Aashritha Valsalane"	Sujatha	Solo	Ravindra Jain	Mankombu	Malyalam
1979	"Kaun Hai Aisa Jise Phoolon Se"	Raadha Aur Seeta	K. J. Yesudas	Ravindra Jain	Ravindra Jain	Hindi
1979	"Bheega Bheega Mausam Aaya", "Phir Wohi Sawan"	Bhayanak	Solo	Usha Khanna	Indeevar	Hindi
1979	"O Saiyya Mein, Saiyya Mein Aayi Ghar"	Bhayanak	Suresh Wadkar	Usha Khanna	Indeevar	Hindi
1979	"Aayi Hain , Aayi Hain Phir Se Baharein"	Ghar Ki Laaj	Solo	Ravindra Jain	Ravindra Jain	Hindi
1979	"Yeh Rang Bhare Din Umang-Bhare Din"	Man Ka Aangan	Solo	Ravindra Jain	Ravindra Jain	Hindi
1979	"Jai Bhawani Jai Ho Bhawani"	Ladke Baap Se Badke	Solo	Ravindra Jain	Ravindra Jain	Hindi
1978	"Radha Thumak Thumak Mat Chalna"	Toofani Takker	Solo	C. Ramchandra	Ram Rasila	Hindi
1978	"O Ji O Bhartar Ji"	Rangilo Rajshthan	O Vyas	Babu Singh	Bharat Vyas	Rajasthani
1978	"Yeh To Kal Ki Hai Baat"	Sone Ka Dil Lohe Ke Haath	Solo	Usha Khanna	Asad Bhopali	Hindi
1978	"Ankhiyon Ke Jharokhon Se −1, −2, −3"	Ankhiyon Ke Jharokhon Se	Solo	Ravindra Jain	Ravindra Jain	Hindi
1978	"Ek Din Tum Bahut Bade Banoge", "Kai Din Se Mujhe"	Ankhiyon Ke Jharokhon Se	Shailendra Singh	Ravindra Jain	Ravindra Jain	Hindi
1978	"Dohavali","Dohavali (Non Stop Singing)"	Ankhiyon Ke Jharokhon Se	Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1978	"Nathaniyan Jo Dali"	Main Tulsi Tere Aangan Ki	Anuradha Paudwal	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1978	"Bachpan Mohe Peechhe Bulaye"	Madhumalti	Solo	Ravindra Jain	Ravindra Jain	Hindi
1978	"Duniya Se Door Ek Nai Duniya"	Madhumalti	Suresh Wadkar	Ravindra Jain	Ravindra Jain	Hindi
1978	"Ek Phool Aur Ek Moti Se −1, −2"	Hamara Sansar	Mahendra Kapoor	Ravindra Jain	Ravindra Jain	Hindi
1978	"Paisa Do Paisa Aana Do Aana Dete Jaana Re"	Hamara Sansar	Chandrani Mukherjee	Ravindra Jain	Ravindra Jain	Hindi
1978	"Jag Janani Maha Maya"	Aakhri Kasam	Solo	Ravindra Jain	Ravindra Jain	Hindi
1978	"Humse Chhupa Na Jee Ka"	Aakhri Kasam	Suman Kalyanpur	Ravindra Jain	Ravindra Jain	Hindi
1978	"Wafa Jo Na Ki To Jafa Bhi Na Kije"	Muqaddar Ka Sikandar	Solo	Kalyanji-Anandji	Anjaan	Hindi
1978	"Madhuban Khushboo Deta Hai"	Saajan Bina Suhagan	K. J. Yesudas & Anuradha Paudwal	Usha Khanna	Amit Khanna	Hindi
1977	"He Dayamayi Sankat"	Solah Shukrawar	Solo	Ravindra Jain	Ravindra Jain	Hindi
1977	"Aaj Tak Jo Kaha Tune Kaha"	Shyam Tere Kitne Naam	Solo	Ravindra Jain	Ravindra Jain	Hindi
1977	"Shyam Baba Shyam Baba"	Shyam Tere Kitne Naam	Mahendra Kapoor	Ravindra Jain	Ravindra Jain	Hindi
1977	"Jangal Jangal Doloon Main"	Safed Haathi	Ravindra Jain & Nirmala Misra	Ravindra Jain	Ravindra Jain	Hindi
1977	"Kanha Ki Zid Par Nachegi Radha"	Paheli	Chandrani Mukherjee	Ravindra Jain	Ravindra Jain	Hindi
1977	"Saheli Ho Paheli Poochho"	Paheli	Suresh Wadkar & Chandrani Mukherjee	Ravindra Jain	Ravindra Jain	Hindi
1977	"Tan Bhigey Man Bhigey"	Paheli	Solo	Ravindra Jain	Ravindra Jain	Hindi
1977	"Khushiyan Hi Khushiyan Ho"	Dulhan Wahi Jo Piya Man Bhaaye	K. J. Yesudas & Banasree Sengupta	Ravindra Jain	Ravindra Jain	Hindi
1977	"Aaj Ki Raat Peene De Saaqi"	Do Chehre	Mohammad Rafi , Manna Dey & Minoo Parshottam	Sonik Omi	Bharat Vyas	Hindi
1977	"O Meri Pyari Jalebi"	Daku Aur Mahatma	Amit Kumar	Ravindra Jain	Ravindra Jain	Hindi
