Name	Height	Weight (lbs.)	Position	Class	Hometown
Denis Clemente 1	6'	180	G	Jr.	Bayamón , Puerto Rico
Jacob Pullen	6'1"	185	G	Fr.	Maywood, IL , U.S.
Fred Brown	6'3"	185	G	Fr.	West Palm Beach, FL , U.S.
Blake Young	6'2"	195	G	Sr.	Orlando, FL , U.S.
Andre Gilbert	6'7"	205	F	Jr.	Brooklyn Park, MN , U.S.
Clent Stewart	6'4"	195	G	Sr.	Tulsa, OK , U.S.
Bill Walker 2	6'6"	220	F	Fr.	Huntington, WV , U.S.
David Hoskins 3	6'5"	230	F	Sr.	Canton, MI , U.S.
Jamar Samuels 4	6'8"	200	F	Fr.	Washington, DC , U.S.
Dominique Sutton 4	6'5"	205	G	Fr.	Durham, NC , U.S.
Michael Beasley	6'10"	235	F	Fr.	Frederick, MD , U.S.
Chris Merriewether	6'4"	195	G	So.	Jacksonville, FL , U.S.
Ron Anderson	6'8"	245	F	Fr.	Upper Marlboro, MD , U.S.
Darren Kent	6'10"	210	F	Jr.	Apple Valley, MN , U.S.
Luis Colon	6'10"	275	C	So.	Bayamón , Puerto Rico
James Franklin	6'	190	G	Sr.	Kansas City, KS , U.S.
