Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	1R	2R	2R	1R	2R
French Open	A	A	2R	1R	2R	2R	4R
Wimbledon	1R	A	1R	2R	2R	1R	1R
US Open	A	A	1R	2R	2R	3R	2R
Win–Loss	0–1	0–0	1–4	3–4	4–4	3–4	5–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	1R	A	1R	3R
Miami Masters	A	A	A	A	A	4R	2R
Monte Carlo Masters	A	A	A	2R	1R	1R	1R
Rome Masters	A	A	A	1R	1R	Q1	3R
Madrid Masters	A	A	2R	1R	1R	2R	2R
Canada Masters	A	A	A	A	A	A	QF
Cincinnati Masters	A	A	A	A	A	A	1R
Shanghai Masters	NMS	NMS	NMS	A	A	1R	A
Paris Masters	A	A	2R	A	1R	1R	2R
Hamburg Masters	A	A	1R	NMS	NMS	NMS	NMS
Win–Loss	0–0	0–0	1–3	1–4	0–4	4–6	8–8
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	1–1	0–0	0–1	2–2	0–0
Year End Ranking	160	132	56	91	42	27	34
