Season	Team	Country	League	Level	Apps	Goals
2006–07	Sevilla B	Spain	Segunda División B	3	3	0
2007–08	Marbella	Spain	Segunda División B	3	11	0
2007–08	Burgos	Spain	Segunda División B	3	15	1
2008–09	Santa Eulàlia	Spain	Segunda División B	3	33	4
2009–10	Terrassa	Spain	Segunda División B	3	18	0
2009–10	Getafe B	Spain	Tercera División	4	6	0
2010–11	Roteña	Spain	Primera Andaluza	5	5	0
2011–12	Chieti	Italy	Lega Pro Seconda Divisione	4	4	0
2011–12	Lorca Atlético	Spain	Segunda División B	3	1	0
2012	FC Kairat	Kazakhstan	Premier League	1	18	0
