Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	4	Jim Sandlak	London Knights ( OHL )	509	33
2	25	Troy Gamble	Medicine Hat Tigers ( WHL )	72	4
3	46	Shane Doyle	Belleville Bulls ( OHL )	0	0
4	67	Randy Siska	Medicine Hat Tigers ( WHL )	0	0
5	88	Robert Kron	Brno ZKL ( Czech )	144	11
6	109	Martin Hrstka	HC Dukla Trenčín ( Slovak )	0	0
7	130	Brian McFarlane	Seattle Breakers ( WHL )	0	0
8	151	Hakan Ahlund	Malmö IF ( SWE )	0	0
9	172	Curtis Hunt	Prince Albert Raiders ( WHL )	0	0
10	193	Carl Valimont	University of Lowell ( NCAA )	0	0
11	214	Igor Larionov	HC CSKA Moscow ( Rus )	210	19
12	235	Darren Taylor	Calgary Wranglers ( WHL )	0	0
