Country	Film title used in nomination	Language	Original title	Director
Algeria	Z	French	Z	Costa-Gavras
Austria	Moss on the Stones	German	Moos auf den Steinen	Georg Lhotsky
Belgium	Palaver	Dutch	Palaver	Emile Degelin
Brazil	Antonio das Mortes	Portuguese	O Dragão da Maldade contra o Santo Guerreiro	Glauber Rocha
Czechoslovakia	The Cremator	Czech	Spalovač mrtvol	Juraj Herz
Denmark	Ballad of Carl-Henning	Danish	Balladen om Carl-Henning	Lene Grønlykke and Sven Grønlykke
France	My Night at Maud's	French	Ma Nuit Chez Maud	Éric Rohmer
West Germany	Hunting Scenes From Bavaria	German	Jagdszenen aus Niederbayern	Peter Fleischmann
Greece	Girls in the Sun	Greek	Κοριτσια στον Ηλιο	Vasilis Georgiadis
Hong Kong	The Arch	Chinese	董夫人	Tang Shu Shuen
Hungary	The Upthrown Stone	Hungarian	Feldobott kő	Sándor Sára
India	Deiva Magan	Tamil	தெய்வ மகன்	A. C. Tirulokchandar
Israel	Siege/Matzor	Hebrew	מצור	Gilberto Tofano
Italy	Fellini Satyricon	Italian	Fellini - Satyricon	Federico Fellini
Japan	Kuragejima, Legends From a Southern Island	Japanese	神々の深き欲望	Shōhei Imamura
South Korea	The Old Craftsman of Jar	Korean	독 짓는 늙은이	Choi Ha-won
Netherlands	Monsieur Hawarden	Dutch	Monsieur Hawarden	Harry Kümel
Peru	The Green Wall	Spanish	La Muralla Verde	Armando Robles Godoy
Poland	Everything for Sale	Polish	Wszystko na sprzedaz	Andrzej Wajda
Romania	A Woman for a Season	Romanian	Răutăciosul adolescent	Gheorghe Vitanidis
Spain	La Celestina	Spanish	La Celestina	César Fernández Ardavín
Sweden	Ådalen 31	Swedish	Ådalen '31	Bo Widerberg
USSR	The Brothers Karamazov	Russian	Братья Карамазовы	Kirill Lavrov , Ivan Pyryev and Mikhail Ulyanov
Yugoslavia	Battle of Neretva	Serbian	Bitka na Neretvi	Veljko Bulajić
