Rank	Capacity	City	State	Year opened
1	109,901	Ann Arbor	Michigan	1927
2	107,282	State College	Pennsylvania	1960
3	102,455	Knoxville	Tennessee	1921
4	102,329	Columbus	Ohio	1922
5	101,821	Tuscaloosa	Alabama	1929
6	100,119	Austin	Texas	1924
7	93,607	Los Angeles	California	1923
8	92,746	Athens	Georgia	1929
9	92,400	Baton Rouge	Louisiana	1924
10	92,100	Dallas	Texas	1930
11	91,136	Pasadena	California	1922
12	88,548	Gainesville	Florida	1930
13	87,451	Auburn	Alabama	1939
14	85,413	Jacksonville	Florida	1949;1995
15	82,600	College Station	Texas	1927
16	82,500	East Rutherford	New Jersey	2010
17	82,300	Tallahassee	Florida	1950
18	82,112	Norman	Oklahoma	1925
19=	82,000	Landover	Maryland	1997
19=	82,000	Clemson	South Carolina	1942
21	81,067	Lincoln	Nebraska	1923
22	80,795	Notre Dame	Indiana	1930
23	80,321	Madison	Wisconsin	1917
24	80,250	Columbia	South Carolina	1934
25	80,000	Arlington	Texas	2009
26	76,500	Miami Gardens	Florida	1987
27	76,416	Kansas City	Missouri	1972
28	76,125	Denver	Colorado	2001
29	76,000	Fayetteville	Arkansas	1938
30	75,005	East Lansing	Michigan	1923
31	73,967	Orchard Park	New York	1973
32	73,778	Charlotte	North Carolina	1996
33	73,378	Tempe	Arizona	1958
34	73,200	Cleveland	Ohio	1999
35	73,370	New Orleans	Louisiana	1975
36	72,928	Green Bay	Wisconsin	1957
37	72,500	Seattle	Washington	1920
38	71,594	Birmingham	Alabama	1926
39	71,500	Houston	Texas	2002
40	71,294	San Diego	California	1967
41	71,228	Atlanta	Georgia	1992
42	71,008	Baltimore	Maryland	1998
43	71,004	Columbia	Missouri	1926
44	70,585	Iowa City	Iowa	1929
45	70,207	San Francisco	California	1960
46=	70,000	Orlando	Florida	1936
46=	70,000	Houston	Texas	1950
48	68,798	Nashville	Tennessee	1999
49	68,756	Foxborough	Massachusetts	2002
50	68,532	Philadelphia	Pennsylvania	2003
51	67,606	Lexington	Kentucky	1973
52	67,000	Seattle	Washington	2002
53	66,965	St. Louis	Missouri	1995
54	66,233	Blacksburg	Virginia	1965
55	65,857	Tampa	Florida	1998
56	65,790	Cincinnati	Ohio	2000
57	65,050	Pittsburgh	Pennsylvania	2001
58=	65,000	San Antonio	Texas	1993
58=	65,000	Detroit	Michigan	2002
60	64,269	New Haven	Connecticut	1914
61	64,111	Minneapolis	Minnesota	1982
62	64,045	Provo	Utah	1964
63	63,400	Glendale	Arizona	2006
64	63,026	Oakland	California	1966
65	63,000	Indianapolis	Indiana	2008
65	63.000	Chapel Hill	North Carolina	1926
66	62,872	Champaign	Illinois	1923
67	62,717	Berkeley	California	1923
68	61,500	Chicago	Illinois	1924;2003
69	62,500	West Lafayette	Indiana	1924
70	62,380	Memphis	Tennessee	1965
71	61,500	Charlottesville	Virginia	1931
72	61,000	Lubbock	Texas	1947
73	60,580	Oxford	Mississippi	1915
74	60,540	Morgantown	West Virginia	1980
75	60,492	Jackson	Mississippi	1941
76	60,000	Stillwater	Oklahoma	1920
78	57,803	Tucson	Arizona	1928
79	57,583	Raleigh	North Carolina	1966
80	56,692	Washington, D.C.	District of Columbia	1961
81=	56,000	Los Angeles	California	1962
81=	56,000	Louisville	Kentucky	1998
83	55,082	Starkville	Mississippi	1914
84=	55,000	Atlanta	Georgia	1913
84=	55,000	Ames	Iowa	1975
86	53,800	Eugene	Oregon	1967
87	53,750	Boulder	Colorado	1924
88	53,727	Little Rock	Arkansas	1948
89	53,500	Bloomington	Indiana	1960
90	52,593	Philadelphia	Pennsylvania	1895
91	52,480	Colorado Springs	Colorado	1962
92	52,454	Piscataway	New Jersey	1994
93	52,200	Manhattan	Kansas	1968
94=	51,500	College Park	Maryland	1950
94=	51,500	El Paso	Texas	1963
96	50,832	Shreveport	Louisiana	1925
97	50,805	Minneapolis	Minnesota	2009
98	50,445	Denver	Colorado	1995
99	50,291	Bronx	New York	2009
100	50,096	Atlanta	Georgia	1996
101	50,071	Lawrence	Kansas	1921
102=	50,000	Honolulu	Hawai ʻ i	1975
102=	50,000	Greenville	North Carolina	1963
102=	50,000	Waco	Texas	1950
102=	50,000	Stanford	California	1921;2006
106	49,262	Syracuse	New York	1980
107	49,115	Arlington	Texas	1994
108	49,033	Phoenix	Arizona	1998
109	48,876	Baltimore	Maryland	1992
110	47,130	Evanston	Illinois	1996
111	47,116	Seattle	Washington	1999
112	46,861	St. Louis	Missouri	2006
113	45,674	Corvallis	Oregon	1953
114	45,634	Salt Lake City	Utah	1998
115	45,301	Orlando	Florida	2007
116	45,050	Anaheim	California	1966
117	44,500	Chestnut Hill	Massachusetts	1957
118	44,008	Fort Worth	Texas	1930
119	43,647	Philadelphia	Pennsylvania	2004
120	43,545	Cleveland	Ohio	1994
121	42,445	San Diego	California	2004
122	42,059	Cincinnati	Ohio	2003
123	41,900	Milwaukee	Wisconsin	2001
124	41,888	Washington, D.C.	District of Columbia	2008
125	41,800	Flushing, New York	New York	2009
126	41,782	Detroit	Michigan	2000
127	41,503	San Francisco	California	2000
128	41,160	Chicago	Illinois	1914
129	41,031	Fresno	California	1980
130	40,950	Houston	Texas	2000
131	40,646	Mobile	Alabama	1948
132	40,615	Chicago	Illinois	1991
133	40,094	Albuquerque	New Mexico	1960
134=	40,000	South Williamsport	Pennsylvania	1959
134=	40,000	East Hartford	Connecticut	2003
134=	40,000	West Point	New York	1924
137	39,790	Nashville	Tennessee	1922
138	39,504	Minneapolis	Minnesota	2010
139	39,000	Kansas City	Missouri	1973
140	38,496	Pittsburgh	Pennsylvania	2001
141	38,019	Huntington	West Virginia	1991
142	37,402	Boston	Massachusetts	1912
143=	37,000	Boise	Idaho	1970
143=	37,000	Miami	Florida	2012
145	36,973	St. Petersburg	Florida	1990
