Crew	Year 10 1st Quad	Year 10 2nd Quad	Year 10 3rd Quad	Year 10 4th Quad	Year 10 Single Scull	Year 9 1st Quad	Year 9 2nd Quad	Year 9 3rd Quad	Year 9 4th Quad	Year 9 Single Scull	Year 8 1st Quad	Year 8 2nd Quad	Year 8 3rd Quad	Year 8 4th Quad	Year 8 Single Scull
1999	STM	STM	STM	SOM	STM	BSHS	STH	STM	STM	SOM	STM	STM	STU	STU	STM
2000	BSHS	SOM	STM	STM	No race	STM	STM	STM	STU	No race	STM	SOM	STM	STM	No race
2001	SOM	STM	STM	STU	STM	SOM	STM	STM	SOM	STM	STM	STM	STA	STU	STM
2002	STA	STM	SOM	SOM	LHC	STM	STA	STA	STU	STM	SOM	SOM	SOM	STA	SOM
2003	STM	SOM	SOM	STM	STM	STM	SOM	SOM	SOM	SOM	SOM	STU	STM	SOM	SPLC
2004	SOM	SOM	STM	SOM	SOM	STM	SOM	STA	STA	SPLC	SOM	STA	SOM	STA	SOM
2005	SOM	STM	STA	STA	SPLC	BGGS	STU	STM	SOM	STA	BGGS	SPLC	BGGS	STA	STM
2006	SPLC	STM	BGGS	BGGS	SPLC	STM	BGGS	STA	BGGS	STM	SOM	SOM	STA	BGGS	STH
2007	STM	BGGS	STA	STA	STM	BGGS	BGGS	STM	BGGS	STH	STA	AHS	STU	BGGS	AHS
2008	STH	STM	SPLC	SOM	SPLC	STA	STU	STU	STU	AHS	SOM	SOM	SOM	SOM	STH
2009	STA	STM	STU	SOM	SOM	STA	SOM	SOM	SOM	SOM	STA	AHS	STU	STU	SOM
2010	SOM	SOM	SOM	SOM	SOM	BGGS	AHS	SOM	SOM	SOM	STM	SOM	STM	STM	STM
2011	SOM	SOM	AHS	SOM	SPLC	STM	STM	STM	STM	STM	SOM	STH	STM	SOM	SPLC
2012	SOM	SOM	STM	AHS	SOM	SOM	SOM	STH	SPLC	SPLC	STM	SPLC	STU	STM	STM
2013	AHS	SOM	STH	SPLC	SPLC	SOM	STM	STH	STH	SPLC	STM	SOM	SOM	SOM	STM
