Place	Player	Country	Score	To par	Money ( $ )
1	Ben Hogan	United States	70-69-66-69=274	–14	4,000
2	Ed Oliver	United States	69-73-67-70=279	–9	2,500
3	Lloyd Mangrum	United States	74-68-71-69=282	–6	1,700
4	Bob Hamilton	United States	71-69-70-73=283	–5	1,400
T5	Tommy Bolt	United States	71-75-68-71=285	–3	900
T5	Chick Harbert	United States	68-73-70-74=285	–3	900
7	Ted Kroll	United States	71-70-73-72=286	–2	700
8	Jack Burke, Jr.	United States	78-69-69-71=287	–1	650
9	Al Besselink	United States	69-75-70-74=288	E	600
T10	Julius Boros	United States	73-71-75-70=289	+1	523
T10	Chandler Harper	United States	74-72-69-74=289	+1	523
T10	Fred Hawkins	United States	75-70-74-70=289	+1	523
