District	Incumbent	Party	First elected	Results	Candidates
Ohio 1	Steve Chabot	Republican	1994	Re-elected	Steve Chabot (R) 52.3% John Cranley (D) 47.7%
Ohio 2	Jean Schmidt	Republican	2005	Re-elected	Jean Schmidt (R) 50.5% Victoria Wulsin (D) 49.4%
Ohio 3	Mike Turner	Republican	2002	Re-elected	Mike Turner (R) 58.5% Richard Chema (D) 41.5%
Ohio 4	Mike Oxley	Republican	1981	Retired Republican hold	Jim Jordan (R) 60.0% Richard Siferd (D) 40.0%
Ohio 5	Paul Gillmor	Republican	1988	Re-elected	Paul E. Gillmor (R) 56.9% Robin Weirauch (D) 43.1%
Ohio 6	Ted Strickland	Democratic	1992	Retired to run for Governor Democratic hold	Charlie Wilson (D) 62.1% Chuck Blasdel (R) 37.9%
Ohio 7	Dave Hobson	Republican	1990	Re-elected	Dave Hobson (R) 60.6% Bill Conner (D) 39.4%
Ohio 8	John Boehner	Republican	1990	Re-elected	John Boehner (R) 63.8% Mort Meier (D) 36.2%
Ohio 9	Marcy Kaptur	Democratic	1982	Re-elected	Marcy Kaptur (D) 73.6% Bradley Leavitt (R) 26.4%
Ohio 10	Dennis Kucinich	Democratic	1996	Re-elected	Dennis Kucinich (D) 66.4% Mike Dovilla (R) 33.6%
Ohio 12	Pat Tiberi	Republican	2000	Re-elected	Pat Tiberi (R) 57.3% Bob Shamansky (D) 42.7%
Ohio 13	Sherrod Brown	Democratic	1992	Retired to run for U.S. Senate Democratic hold	Betty Sutton (D) 61.2% Craig Foltin (R) 38.8%
Ohio 15	Deborah Pryce	Republican	1992	Re-elected	Deborah Pryce (R) 50.2% Mary Jo Kilroy (D) 49.7%
Ohio 16	Ralph Regula	Republican	1972	Re-elected	Ralph Regula (R) 58.3% Tom Shaw (D) 41.7%
