Rank	Nation	Gold	Silver	Bronze	Total
1	Ukraine (UKR)	2	2	0	4
2	Belarus (BLR)	2	1	1	4
3	Hungary (HUN)	2	0	0	2
4	Ireland (IRL)	1	0	2	3
5	Bulgaria (BUL)	1	0	0	1
5	France (FRA)	1	0	0	1
5	Sweden (SWE)	0	0	0	1
5	Russia (RUS)	1	0	0	1
9	Great Britain (GBR) ENG	0	2	2	4
10	Azerbaijan (AZE)	0	1	1	2
10	France (FRA)	0	1	1	2
10	Moldova (MDA)	0	1	1	2
10	Poland (POL)	0	1	1	2
14	Croatia (CRO)	0	1	0	1
15	Germany (GER)	0	0	3	3
16	Turkey (TUR)	0	0	2	2
16	Lithuania (LTU)	0	0	2	2
16	Armenia (ARM)	0	0	1	1
16	Finland (FIN)	0	0	1	1
