Place	Player	Country	Score	To par	Money ( $ )
T1	Gene Sarazen	United States	68-71-73-70=282	–6	Playoff
T1	Craig Wood	United States	69-72-68-73=282	–6	Playoff
3	Olin Dutra	United States	70-70-70-74=284	–4	600
4	Henry Picard	United States	67-68-76-75=286	–2	500
5	Denny Shute	United States	73-71-70-73=287	–1	400
6	Lawson Little (a)	United States	74-72-70-72=288	E	0
7	Paul Runyan	United States	70-72-75-72=289	+1	300
8	Vic Ghezzi	United States	73-71-73-73=290	+2	250
T9	Bobby Cruickshank	Scotland	76-70-73-72=291	+3	138
T9	Jimmy Hines	United States	70-70-77-74=291	+3	138
T9	Byron Nelson	United States	71-74-72-74=291	+3	138
T9	Joe Turnesa	United States	73-71-74-73=291	+3	138
