Tie no	Home team	Score	Away team	Attendance
1	Blackpool	1 – 0	Port Vale	4,669
2	Bournemouth	2 – 1	Carlisle United	5,815
3	Histon	1 – 3	Yeovil Town	2,564
4	Swindon Town	1 – 1	Notts County	5,768
replay	Notts County	2 – 0	Swindon Town	3,770
5	Stockport County	0 – 0	Swansea City	2,680
replay	Swansea City	2 – 1	Stockport County	5,572
6	Wycombe Wanderers	0 – 3	Luton Town	4,767
7	Northampton Town	1 – 0	Bury	4415
8	Hull City	4 – 0	Macclesfield Town	9,831
9	Oldham Athletic	4 – 0	Leyton Orient	4,657
10	Exeter City	2 – 1	Doncaster Rovers	4,797
11	Scunthorpe United	2 – 0	Wrexham	5,698
12	Halifax Town	1 – 3	Chester City	4,497
13	Hereford United	2 – 3	Boston United	3,601
14	Peterborough United	2 – 0	Bath City	4,187
15	Slough Town	1 – 3	Yeading	2,418
16	Cambridge City	0 – 1	Milton Keynes Dons	2,000
17	Hartlepool United	5 – 1	Aldershot Town	4,556
18	Stevenage Borough	0 – 2	Rochdale	2,700
19	Rushden & Diamonds	2 – 5	Colchester United	3,077
20	Hinckley United	0 – 0	Brentford	2,661
replay	Brentford	2 – 1	Hinckley United	4,002
