Tournament	Winner	Runner-up	Score	Third Place
Delray Beach	Patrick Rafter	John McEnroe	7–6(4), 7–6(1)	Mats Wilander
Zürich	Stefan Edberg	Goran Ivanišević	3–6, 6–3, [12–10]	Richard Krajicek
Bogotá	Thomas Enqvist	Wayne Ferreira	7–6(4), 6–4	Yevgeny Kafelnikov
Barcelona	Goran Ivanišević	Thomas Enqvist	6–4, 6–4	Juan Balcells
São Paulo	Thomas Enqvist	Guy Forget	3–6, 6–4, [10–3]	Yevgeny Kafelnikov
Algarve	Thomas Enqvist	Thomas Muster	6–4, 6–4	Goran Ivanišević
Knokke	Goran Ivanišević	Pat Cash	3–6, 6–3, [10–4]	Guy Forget
Paris	John McEnroe	Guy Forget	7–5, 6–4	None
Chengdu	Greg Rusedski	Pete Sampras	6–4, 6–2	Thomas Enqvist
Sydney	Patrick Rafter	John McEnroe	6–2, 6–2	Thomas Enqvist
London	Goran Ivanišević	Todd Martin	6–2, 6–4	None
