Season	Champions (Premier League titles)	Runners-up	Third place	Player(s) (Club)	Goals
2000–01 1	Željezničar (1)	Brotnjo	Sarajevo	Dželaludin Muharemović (Željezničar)	31
2001–02 1	Željezničar (2)	Široki Brijeg	Brotnjo	Ivica Huljev (Željezničar)	15
2002–03	Leotar (1)	Željezničar	Sarajevo	Emir Obuća (Sarajevo)	24
2003–04	Široki Brijeg (1)	Željezničar	Sarajevo	Alen Škoro (Sarajevo)	20
2004–05	Zrinjski (1)	Željezničar	Široki Brijeg	Zoran Rajović (Zrinjski)	17
2005–06	Široki Brijeg (2)	Sarajevo	Zrinjski	Petar Jelić (Modriča)	19
2006–07	Sarajevo (1)	Zrinjski	Slavija	Stevo Nikolić (Modriča) Dragan Benić (Borac)	19
2007–08	Modriča (1)	Široki Brijeg	Čelik	Darko Spalević (Slavija)	18
2008–09	Zrinjski (2)	Slavija	Sloboda	Darko Spalević (Slavija)	17
2009–10	Željezničar (3)	Široki Brijeg	Borac	Feđa Dudić (Travnik)	16
2010–11	Borac (1)	Sarajevo	Željezničar	Ivan Lendrić (Zrinjski)	16
2011–12	Željezničar (4)	Široki Brijeg	Borac	Eldin Adilović (Željezničar)	19
