Date	Result	Opponent	Event	Location	Method	Record
2010-12-16	Loss	Eugene Orlov	KOK World GP 2010 in Russia	Moscow, Russia	Decision (3-0)	13-14
2010-04-29	Win	Hukuda Yuuhei	Krush 9	Japan	TKO (Corner stoppage)	13-13
2009-03-21	Win	Tanigawa Takeshi	Krush 6	Japan	KO (Punches)	12-13
2009-03-28	Loss	Takumi Sato	K-1 World Grand Prix 2009 in Yokohama	Yokohama, Japan	TKO	11-13
2007-10-13	Loss	Maxsim Neledva	K-1 Fighting Network Latvia 2007	Yokohama, Japan	KO	11-12
2007-03-04	Loss	Aleksandr Pitchkounov	K-1 World Grand Prix 2007 in Yokohama	Yokohama, Japan	KO	11-11
2006-12-02	Win	Kyoung Suk Kim	K-1 World Grand Prix 2006 in Tokyo Final	Tokyo , Japan	Decision (3-0)	11-10
2006-06-03	Loss	Peter Aerts	K-1 World Grand Prix 2006 in Seoul	Seoul , South Korea	KO (Left high kick)	10-10
2006-05-03	Loss	Jason Suttie	K-1 World Grand Prix 2006 in Auckland	Auckland, New Zealand	KO	10-9
2006-05-03	Win	Cyril Abidi	K-1 World Grand Prix 2006 in Auckland	Auckland, New Zealand	TKO (Corner stoppage)	10-8
2005-08-13	Loss	Chalid Arrab	K-1 World Grand Prix 2005 in Las Vegas II	Las Vegas , USA	Decision (3-0)	9-8
2004-06-14	Loss	Bob Sapp	K-1 World Grand Prix 2005 in Hiroshima	Hiroshima , Japan	KO	9-7
2005-06-14	Win	Tsuyoshi Nakasako	K-1 World Grand Prix 2005 in Hiroshima	Hiroshima , Japan	Decision (3-0)	9-6
2005-03-19	Loss	Kaoklai Kaennorsing	K-1 World Grand Prix 2005 in Seoul	Seoul , South Korea	Decision (3-0)	8-6
2005-03-19	Win	Myeon Ju Lee	K-1 World Grand Prix 2005 in Seoul	Seoul , South Korea	Decision (3-0)	8-5
2004-06-26	Loss	Nobu Hayashi	K-1 Beast 2004	Shizuoka , Japan	KO	7-5
2004-06-26	Win	Shingo Koyasu	K-1 Beast 2004	Shizuoka , Japan	Decision (3-0)	7-4
2004-03-27	Loss	Cyril Abidi	K-1 World Grand Prix 2004 in Saitama	Saitama, Japan	TKO	6-4
2004-02-15	Loss	Mighty Mo	K-1 Burning 2004	Okinawa, Japan	KO (Right hook)	6-3
2003-09-21	Loss	Musashi	K-1 Survival 2003 Japan Grand Prix	Yokohama, Japan	KO (Left kow kick)	6-2
2003-09-21	Win	Tatsufumi Tomihira	K-1 Survival 2003 Japan Grand Prix	Yokohama, Japan	Decision (2-0)	6-1
2003-06-29	Win	Kazuhiro Nakamura	K-1 Beast II 2003	Yokohama, Japan	K0 (Left high kick)	5-1
2003-04-06	Win	Kazushi Nishida	K-1 Beast 2003	Yamagata, Japan	KO (Left knee)	4-1
2002-04-21	Loss	Ryo Takigawa	K-1 Burning 2002	Hiroshima , Japan	KO (Right hook)	3-1
2001-08-19	Win	Masahide Aoyagi	K-1 Andy Memorial Japan GP Final	Saitama , Japan	Decision (3-0)	3-0
2001-06-24	Win	Mitsuru Suzuki	K-1 Survival 2001	Tokyo , Japan	KO (Left low kick)	2-0
2001-04-15	Win	Ryoma	K-1 Burning 2001	Kumamoto , Japan	KO (Knee)	1-0
