Rank	Name	Nation	Points	Placings
1	Marina Cherkasova / Sergei Shakhrai	Soviet Union	144.64	10
2	Manuela Mager / Uwe Bewersdorf	East Germany	142.92	20
3	Marina Pestova / Stanislav Leonovich	Soviet Union	141.08	25
4	Sabine Baeß / Tassilo Thierbach	East Germany	138.98	38
5	Christina Riegel / Andreas Nischwitz	West Germany	135.92	46
6	Veronika Pershina / Marat Akbarov	Soviet Union	134.32	55
7	Kitty Carruthers / Peter Carruthers	United States	134.10	58
8	Igrid Spieglová / Alan Spiegl	Czechoslovakia	130.56	76
9	Cornelia Haufe / Kersten Bellmann	East Germany	128.14	84
10	Sheryl Franks / Michael Botticelli	United States	127.68	90
11	Barbara Underhill / Paul Martini	Canada	127.86	91
12	Yukiko Okabe / Takashi Mura	Japan	119.74	113
13	Susan Garland / Robert Daw	United Kingdom	119.06	115
14	Elizabeth Cain / Peter Cain	Australia	116.38	123
15	Luan Bo / Yao Bin	China	88.06	135
