Pick #	MLS Team	Player	Position	Affiliation
33	Philadelphia Union	Kyle Nakazawa	Midfielder	UCLA Los Angeles Legends
35	Chivas USA	Kevin Tangney	Defender	University of Maryland
36	Kansas City Wizards	Nick Cardenas	Defender	San Diego State University Ogden Outlaws
37	San Jose Earthquakes	Andrew Hoxie	Forward	The College of William & Mary
38	FC Dallas	Jason Yeisley	Forward	Penn State University Reading Rage
39	Real Salt Lake	Chris Schuler	Defender	Creighton University Chicago Fire Premier
40	Colorado Rapids	Chad Borak	Defender	Cal State Northridge Orange County Blue Star
41	Kansas City Wizards	Mauro Fuzetti	Midfielder	University of Michigan Michigan Bucks
42	Chivas USA	Isaac Kissi	Midfielder	University of Dayton
43	Houston Dynamo	David Walker	Midfielder	UC Santa Barbara
44	FC Dallas	Eric Alexander	Midfielder	Indiana University Kalamazoo Outrage
45	Chicago Fire	Steven Kinney	Defender	Elon University Carolina Dynamo
46	Houston Dynamo	Samuel Appiah	Midfielder	Boston University
47	Chivas USA	Ben Zemanski	Midfielder	University of Akron Cleveland Internationals
