Country Name	1961-65	1966-70	1971-75	1976-80	1981-85	1986-90	1991-95	1996–2000	2001-05	2006-10
Albania	-100	-100	-100	-100	0.01%	-1.4%	-0.11%	6.27%	4.93%	4.67%
Algeria	0.6%	3.55%	3.28%	2.87%	1.5%	-1.91%	-1.93%	1.58%	3.35%	0.96%
Andorra	-100	-100	0.41%	-1.77%	-3.33%	2.29%	-2.52%	4.47%	3.44%	-100
Angola	-100	-100	-100	-100	-100	0.61%	-6.77%	3.49%	6.88%	8.72%
Antigua and Barbuda	-100	-100	-100	-100	6.78%	8.11%	0.1%	1.78%	2.61%	-0.68%
Argentina	2.39%	2.51%	1.41%	1.41%	-3.9%	-1.77%	5.31%	1.48%	1.41%	5.85%
Armenia	-100	-100	-100	-100	-100	-100	-8.24%	6.12%	12.31%	3.93%
Aruba	-100	-100	-100	-100	-100	-100	0.56%	1.71%	-100	-100
Australia	-100	3.64%	1.03%	1.69%	1.39%	2.27%	1.28%	3.12%	1.9%	-100
Austria	3.78%	4.75%	3.59%	3.34%	1.45%	2.47%	1.45%	2.84%	1.04%	1.15%
Azerbaijan	-100	-100	-100	-100	-100	-100	-16.77%	6.14%	12.71%	15.21%
Bahamas, The	5.21%	2.11%	-7.23%	9.81%	1.8%	0.66%	-1.78%	3.93%	0.24%	-2.85%
Bahrain	-100	-100	-100	-100	-4.2%	1.23%	4.23%	1.6%	3.45%	-100
Bangladesh	1.77%	0.43%	-3.17%	1.47%	0.96%	1.05%	2.12%	3.17%	3.73%	4.98%
Barbados	5.22%	7.42%	0.59%	4.3%	-1.28%	2.98%	-0.59%	3.13%	-0.17%	-100
Belarus	-100	-100	-100	-100	-100	-100	-8.11%	6.76%	7.72%	8.53%
Belgium	4.27%	4.31%	3.27%	3.08%	0.93%	2.86%	1.26%	2.63%	1.13%	0.45%
Belize	1.46%	3.15%	5.85%	4.73%	-2.19%	6.97%	3.09%	3.13%	2.18%	-1.03%
Benin	1.78%	0.85%	-0.8%	1.49%	1.83%	-1.94%	0.78%	2.38%	0.65%	1.09%
Bermuda	2.71%	5.9%	3.04%	4.88%	-1.2%	1.41%	0.49%	3.33%	3.21%	-100
Bhutan	-100	-100	-100	-100	-100	8.82%	5.49%	4.27%	5.19%	6.65%
Bolivia	2.57%	-1.55%	3.26%	-0.28%	-3.99%	-0.01%	1.74%	1.28%	1.13%	2.91%
Bosnia and Herzegovina	-100	-100	-100	-100	-100	-100	-100	28.61%	4.47%	3.34%
Botswana	3.62%	7.7%	14.19%	7.99%	6.3%	8.43%	1.25%	5.25%	3.93%	1.63%
Brazil	1.52%	5.04%	7.72%	4.22%	-1.06%	0.19%	1.49%	0.51%	1.49%	3.43%
Brunei Darussalam	-100	-100	-100	6.55%	-6.03%	-2.69%	0.35%	-1.08%	-0.03%	-1.68%
Bulgaria	-100	-100	-100	-100	3.17%	2.22%	-1.79%	1.22%	6.34%	3.3%
Burkina Faso	1.37%	0.99%	1%	1.26%	1.61%	0.33%	1.15%	3.84%	3.06%	2.29%
Burundi	0.15%	5.7%	-0.29%	1.87%	2.02%	0.78%	-4.02%	-2.25%	-0.4%	1.15%
Cambodia	-100	-100	-100	-100	-100	-100	-100	5.05%	7.83%	5.3%
Cameroon	0.44%	-0.87%	3.83%	3.69%	6.3%	-5.05%	-4.47%	2.31%	1.39%	0.6%
Canada	3.79%	2.86%	2.66%	2.52%	1.7%	1.49%	0.64%	3.17%	1.55%	0.14%
Cape Verde	-100	-100	-100	-100	-100	2.31%	2.61%	4.26%	3.52%	5.78%
Central African Republic	-1.13%	1.11%	-0.03%	-1.67%	-0.62%	-2.16%	-1.42%	0.22%	-2.52%	1.04%
Chad	-1.49%	-0.68%	-1.45%	-6.47%	6.51%	-1.16%	-0.63%	-0.6%	13.16%	-2.18%
Channel Islands	-100	-100	-100	-100	-100	-100	-100	-100	-1.41%	-100
Chile	1.16%	2.5%	-2.78%	5.78%	-0.46%	4.94%	6.8%	2.79%	3.06%	2.27%
China	0.25%	4.58%	3.57%	5.18%	9.27%	6.27%	10.95%	7.61%	9.06%	10.62%
Colombia	1.6%	2.97%	3.24%	2.99%	0.03%	2.83%	2.22%	-0.49%	2%	3.07%
Comoros	-100	-100	-100	-100	1.02%	-0.92%	-1.53%	-1.11%	0.08%	-1.34%
Democratic Republic of Congo	0.14%	0.89%	-0.34%	-4.31%	-0.93%	-3.12%	-10.58%	-6.14%	1.06%	2.64%
Republic of the Congo	0.69%	2.05%	4.8%	2.14%	7.39%	-2.97%	-2.17%	-0.3%	1.64%	2.47%
Costa Rica	1.66%	4.04%	3.58%	2.49%	-2.63%	2.36%	3.01%	2.45%	2.15%	2.62%
Cote d'Ivoire	3.89%	5.37%	1.8%	-0.15%	-3.82%	-2.33%	-1.67%	0.72%	-1.64%	0.45%
Croatia	-100	-100	-100	-100	-100	-100	-5.34%	4.58%	4.39%	1.08%
Cuba	-100	-100	3.8%	2.55%	8.15%	-1.14%	-7.36%	4.19%	4.8%	-100
Cyprus	-100	-100	-100	11.21%	4.4%	5.5%	2.18%	2.5%	1.43%	-100
Czech Republic	-100	-100	-100	-100	-100	-100	-0.73%	1.62%	3.82%	2.15%
