Mexico	Mañana es para siempre	El Canal de las Estrellas	October 20, 2008	June 14, 2009	Monday to Friday
Argentina	Mañana es para siempre	Canal 9	November 10, 2011	March 16, 2012	Monday to Friday
Bulgaria	Утре и завинаги	Diema Family	January 11, 2010	April 30, 2010	Monday to Friday
Bosnia and Herzegovina	Ljubav je večna	Pink BH	December 3, 2009	May 29, 2010	Monday to Saturday
Croatia	Odavde do vječnosti	Nova TV	February 1, 2010	June 10, 2010	Monday to Friday
Croatia	Odavde do vječnosti	Doma TV	June 16, 2011	October 30, 2011	Monday to Friday
Estonia	Igavene Homne	TV3	March 30, 2010	November 8, 2010	Monday to Friday
Hungary	Mindörökké szerelem	RTL Klub	November 15, 2010	July 8, 2011	Monday to Friday
Macedonia	Љубовта е вечна	Sitel TV	2009	2009	Monday to Friday
Lithuania	Amžinai tavo	Lnk	March, 2009	October 30, 2009	Monday to Friday
Montenegro	Ljubav je večna	Pink M	August 10, 2009	February 23, 2010	Monday to Friday
Romania	Impreuna pentru totdeauna	Acasă	March 29, 2010	September 4, 2010	Monday to Friday
Serbia	Ljubav je večna	RTV Pink	June 5, 2009	January 29, 2010	Monday to Friday
Slovakia	Love Never Dies	JOJ Plus	December 21, 2009	April, 2010	Monday to Friday
Slovenia	Jutri je za večno	POP TV	September 25, 2009	May 10, 2010	Monday to Friday
USA	Mañana es para siempre	Univision	February 23, 2009	October 5, 2009	Monday to Friday
Iran	Mañana es para siempre	PMC	2010	2011	Saturday to Wednesday
