Year	Competition	Venue	Position	Notes
2004	World Junior Championships	Grosseto , Italy	15th	1.75 m
2005	European U23 Championships	Erfurt, Germany	11th	1.70 m
2006	European Championships	Gothenburg , Sweden	20th (q)	1.87 m
2007	European U23 Championships	Debrecen, Hungary	13th (q)	1.81 m
2007	Universiade	Bangkok, Thailand	9th	1.80 m
2008	Olympics Games	Beijing, China	21st (q)	1.89 m
2009	European Indoor Championships	Torino, Italy	10th (q)	1.85 m
2009	Universiade	Belgrade, Serbia	5th	1.88 m
2009	World Championships	Berlin, Germany	17th (q)	1.89 m
2010	World Indoor Championships	Doha, Qatar	10th (q)	1.89 m
2010	European Championships	Barcelona, Spain	11th	1.85 m
2011	European Indoor Championships	Paris, France	13th (q)	1.89 m
2011	Universiade	Shenzhen, China	3rd	1.94 m
2011	World Championships	Daegu, South Korea	12th	1.89 m
2012	World Indoor Championships	Istanbul, Turkey	12th (q)	1.88 m
2012	European Championships	Helsinki, Finland	13th (q)	1.87 m
2012	Olympic Games	London, UK	15th (q)	1.90 m
2013	European Indoor Championships	Gothenburg , Sweden	4th	1.92 m
2013	Universiade	Kazan, Russia	3rd	1.94 m
2013	World Championships	Moscow, Russia	16th (q)	1.88 m
