Polling Firm	Date	Sarkozy	Royal	Bayrou	Le Pen	Others
Ipsos	21 April 2007	30	23.5	17	13.5	16
CSA	20 April 2007	26.5	25.5	16	16.5	15.5
Ifop	20 April 2007	28	22.5	20	13	16.5
Ipsos	20 April 2007	30	23	18	13	16
TNS-Sofres	19 April 2007	28	24	19.5	14	14.5
BVA	19 April 2007	29	25	15	13	18
Ipsos	19 April 2007	30	23.5	18.5	13	15
Ifop	18 April 2007	28	22.5	19	12.5	18
TNS-Sofres	18 April 2007	28.5	25	19	14	13.5
Ipsos	18 April 2007	29.5	24.5	18.5	13.5	14
CSA	17 April 2007	27	25	19	15.5	13.5
Ipsos	17 April 2007	28.5	25	18.5	14	14
Louis-Harris	16 April 2007	27	23	19	14	17
CSA	15 April 2007	26	23	21	15	15
Ipsos	15 April 2007	29.5	25	17.5	13.5	14.5
Ifop	15 April 2007	28.5	24	18	13	16.5
TNS-Sofres	14 April 2007	30	26	17	12	15
Ipsos	14 April 2007	29.5	24.5	17.5	14	14.5
Ipsos	13 April 2007	30	24	18.5	13.5	14
CSA	12 April 2007	27	25	19	15	14
Ipsos	12 April 2007	29.5	24	19	14	13.5
BVA	12 April 2007	28	24	18	14	16
Ipsos	11 April 2007	30	23.5	19	13.5	14
Ipsos	10 April 2007	30.5	23	19.5	13	14
Louis-Harris	9 April 2007	28	24	18	15	15
Ifop	8 April 2007	29.5	22	19	14	15.5
Ipsos	8 April 2007	30.5	22.5	19.5	13	14.5
Ipsos	7 April 2007	31.5	23.5	19	12.5	13.5
CSA	6 April 2007	26	23.5	21	16	13.5
Ipsos	6 April 2007	31	24	18.5	13	13.5
BVA	5 April 2007	29.5	24	18	12	16.5
Ipsos	5 April 2007	31.5	24.5	18.5	13	12.5
Ifop	4 April 2007	27.5	23	20	14	15.5
Ipsos	4 April 2007	31.5	25	18.5	13	12
Ipsos	3 April 2007	31.5	24	19	13.5	12
Louis-Harris	2 April 2007	29	26	18	13	14
Ipsos	1 April 2007	31	24.5	19	13	12.5
Ipsos	31 March 2007	32	24	18.5	12	13.5
Ifop	31 March 2007	28	23	21	13.5	14.5
TNS-Sofres	30 March 2007	30	27	18	12	13
CSA	30 March 2007	26	24.5	19.5	15	15
Ipsos	30 March 2007	31.5	25	17.5	12	14
Ipsos	29 March 2007	31	24.5	18	12.5	14
BVA	27 March 2007	28	27	20	12	13
Ipsos	27 March 2007	30.5	25	18.5	13	13
Louis-Harris	24 March 2007	27	27	20	12	14
Ipsos	24 March 2007	30	25.5	19	13.5	12
Ifop	23 March 2007	26	25	22	14.5	12.5
TNS-Sofres	23 March 2007	28	26.5	21.5	11	13
CSA	22 March 2007	26	26	21	13	14
BVA	20 March 2007	31	24	17	13	15
Ifop	19 March 2007	28	24	21	14	13
Louis-Harris	17 March 2007	29	26	22	12.5	10.5
Ipsos	17 March 2007	29.5	25	21	12.5	12
Ifop	17 March 2007	26	24	22.5	14	13.5
TNS-Sofres	15 March 2007	31	24	22	12	11
CSA	14 March 2007	27	26	21	14	12
Ipsos	14 March 2007	28.5	24	23	13.5	13
BVA	13 March 2007	29	23	21	13	14
Louis-Harris	10 March 2007	28	26	22	13.5	10.5
Ipsos	10 March 2007	31	25.5	21.5	12.5	9.5
Ifop	9 March 2007	28	23	23	13	13
TNS-Sofres	8 March 2007	27	25.5	23	12	12
CSA	7 March 2007	26	25	24	14	11
Ipsos	7 March 2007	32.5	27	19	12.5	9
BVA	6 March 2007	29	24	21	13	13
Louis-Harris	3 March 2007	28	27	20	14	11
TNS-Sofres	1 March 2007	31	25.5	18.5	12	13
Ipsos	28 February 2007	32	25	18	12.5	10
CSA	28 February 2007	29	29	17	14	11
BVA	27 February 2007	31	25	17	14	13
Louis-Harris	24 February 2007	30	27	17	13	13
Ifop	23 February 2007	28	28	17	11.5	15.5
BVA	20 February 2007	33	26	15	10	16
CSA	20 February 2007	28	29	17	14	13
Louis-Harris	17 February 2007	33	25.5	14	13	15
Ipsos	17 February 2007	33	23	16	13	15
Ifop	15 February 2007	32	25.5	16	11	15.5
TNS-Sofres	15 February 2007	33	26	12	13	16
CSA	12 February 2007	33	26	12	14	15
BVA	12 February 2007	35	29	14	10	12
Ipsos	12 February 2007	34	27	14	13	12
Ifop	12 February 2007	33.5	26	14	10	16.5
Louis-Harris	10 February 2007	31	27	13	12	17
Louis-Harris	3 February 2007	33	27	13	9	18
Ipsos	3 February 2007	34	27	13	11	15
TNS-Sofres	1 February 2007	32	26	13	12.5	18.5
CSA	31 January 2007	31	27	12	16	14
Ipsos	27 January 2007	35	26	11	11	17
Louis-Harris	27 January 2007	31	29	14	10	15.5
BVA	23 January 2007	33	27	13	10	17
Ipsos	20 January 2007	32	29	11	13	15
Ifop	20 January 2007	32.5	28	12.5	11	16
CSA	17 January 2007	30	29	9	15	17
Ifop	15 January 2007	33	28	12	10	17
Ipsos	7 January 2007	33	32	10	12	13
Ifop	5 January 2007	25	27	10	12	25.5
CSA	3 January 2007	32	34	6	15	13
Ifop	15 December 2006	29	31	8	11	21
BVA	12 December 2006	32	35	8	9	16
Ipsos	9 December 2006	34	32	9	11.5	13.5
Ipsos	2 December 2006	35	31	8	12.5	14.5
Ifop	1 December 2006	30	31	9	12	18
CSA	22 November 2006	29	32	6	17	16
Ifop	18 November 2006	29	29	11	11	20
Ipsos	11 November 2006	34	30	8	10	18
TNS-Sofres	9 November 2006	34	34	7	13	12
CSA	8 November 2006	30	29	7	15	19
CSA	18 October 2006	31	32	7	15	15
