Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1964 (37th)	Lemonade Joe	Limonádový Joe	Oldřich Lipský Category:Articles with hCards	Not Nominated
1966 (39th)	Loves of a Blonde	Lásky jedné plavovlásky	Miloš Forman Category:Articles with hCards	Nominee
1967 (40th)	Closely Watched Trains	Ostře sledované vlaky	Jiří Menzel Category:Articles with hCards	Won Academy Award
1968 (41st)	The Firemen's Ball	Hoří, má panenko	Miloš Forman Category:Articles with hCards	Nominee
1969 (42nd)	The Cremator	Spalovač mrtvol	Juraj Herz Category:Articles with hCards	Not Nominated
1973 (46th)	Days of Betrayal	Dny zrady I	Otakar Vávra Category:Articles with hCards	Not Nominated
1974 (47th)	Lovers in the Year One	Milenci v roce jedna	Jaroslav Balík Category:Articles with hCards	Not Nominated
1975 (48th)	Circus in the Circus	Cirkus v cirkuse	Oldřich Lipský Category:Articles with hCards	Not Nominated
1976 (49th)	One Silver Piece	Jeden stříbrný	Jaroslav Balík Category:Articles with hCards	Not Nominated
1978 (51st)	Nick Carter in Prague	Adéla ještě nevečeřela	Oldřich Lipský Category:Articles with hCards	Not Nominated
1979 (52nd)	Those Wonderful Men with a Crank	Báječní muži s klikou	Jiří Menzel Category:Articles with hCards	Not Nominated
1980 (53rd)	Love Between the Raindrops	Lásky mezi kapkami deště	Karel Kachyňa Category:Articles with hCards	Not Nominated
1981 (54th)	Divine Emma	Božská Ema	Jiří Krejčík Category:Articles with hCards	Not Nominated
1982 (55th)	The Assistant	Pomocník	Zoro Záhon Category:Articles with hCards	Not Nominated
1983 (56th)	Incomplete Eclipse	Neúplné zatmění	Jaromil Jireš Category:Articles with hCards	Not Nominated
1984 (57th)	The Millennial Bee	Tisícročná včela	Juraj Jakubisko Category:Articles with hCards	Not Nominated
1985 (58th)	Scalpel, Please	Skalpel, prosím	Jiří Svoboda Category:Articles with hCards	Not Nominated
1986 (59th)	My Sweet Little Village	Vesničko má středisková	Jiří Menzel Category:Articles with hCards	Nominee
1987 (60th)	Forbidden Dreams	Smrt krásných srnců	Karel Kachyňa Category:Articles with hCards	Not Nominated
1989 (62nd)	Tainted Horseplay	Kopytem sem, kopytem tam	Věra Chytilová Category:Articles with hCards	Not Nominated
1990 (63rd)	Vojtech Called Orphan	Vojtěch, řečený sirotek	Zdeněk Tyc Category:Articles with hCards	Not Nominated
