Week	Date	Opponent	Result	Attendance
1	September 2, 1979	Baltimore Colts	W 14–0	50,442
2	September 9, 1979	Cleveland Browns	L 27–24	42,181
3	September 16, 1979	at Houston Oilers	L 20–6	45,684
4	September 23, 1979	Oakland Raiders	W 35–7	67,821
5	September 30, 1979	at Seattle Seahawks	W 24–6	61,169
6	October 7, 1979	at Cincinnati Bengals	W 10–7	40,041
7	October 14, 1979	Denver Broncos	L 24–10	74,292
8	October 21, 1979	New York Giants	L 21–17	44,362
9	October 28, 1979	at Denver Broncos	L 20–3	74,908
10	November 4, 1979	San Diego Chargers	L 20–14	59,353
11	November 11, 1979	Pittsburgh Steelers	L 30–3	70,132
12	November 18, 1979	at Oakland Raiders	W 24–21	53,596
13	November 25, 1979	at San Diego Chargers	L 28–7	50,078
14	December 2, 1979	Seattle Seahawks	W 37–21	42,160
15	December 9, 1979	at Baltimore Colts	W 10–7	25,684
16	December 16, 1979	at Tampa Bay Buccaneers	L 3–0	63,624
