Tie no	Home team	Score	Away team	Attendance
1	Belper Town	4–1	Prescot Cables	427
2	Guiseley	3–3	Sheffield	431
3	Buxton	0–1	Blyth Spartans	556
4	Curzon Ashton	4–3	Mossley	492
5	Retford United	1–0	Newcastle Benfield	300
6	Droylsden	3–2	Gateshead	370
7	Eastwood Town	2–2	Harrogate Town	401
8	Alfreton Town	0–0	Ilkeston Town	820
9	Stalybridge Celtic	1–6	Durham City	525
10	Fleetwood Town	2–0	Frickley Athletic	721
11	Whitley Bay	1–5	Nantwich Town	797
12	Newcastle Blue Star	4–0	Hucknall Town	290
13	Southport	0–2	Boston United	792
14	AFC Hornchurch	2–0	Merstham	473
15	Boreham Wood	0–1	Brackley Town	216
16	Hendon	1–2	AFC Telford United	377
17	Hitchin Town	1–2	Hinckley United	503
18	Kingstonian	1–3	Hayes & Yeading United	571
19	Hampton & Richmond Borough	2–0	Whyteleafe	501
20	Tamworth	3–1	East Thurrock United	608
