Date	Opponent	Venue	Result	Attendance
25 August 1990	St. Johnstone	A	3–1	7,784
1 September 1990	Motherwell	H	1–0	7,636
8 September 1990	St. Mirren	H	1–0	6,968
15 September 1990	Aberdeen	A	1–1	17,400
22 September 1990	Rangers	H	2–1	16,270
29 September 1990	Hearts	A	0–1	12,052
10 October 1990	Dunfermline	H	3–0	9,025
13 October 1990	Hibernian	H	1–0	10,289
20 October 1990	Celtic	A	0–0	34,363
27 October 1990	St. Johnstone	H	1–2	11,353
3 November 1990	Motherwell	A	2–0	8,117
10 November 1990	Rangers	A	2–1	36,995
17 November 1990	Hearts	H	1–1	10,821
24 November 1990	Aberdeen	H	2–3	12,344
1 December 1990	St. Mirren	A	1–1	4,581
8 December 1990	Celtic	H	3–1	14,895
15 December 1990	Hibernian	A	0–0	6,000
22 December 1990	Dunfermline	A	0–1	8,018
29 December 1990	Rangers	H	1–2	178,853
2 January 1991	Aberdeen	A	1–0	17,400
5 January 1991	St. Mirren	H	3–2	11,353
19 January 1991	Motherwell	H	3–0	6,482
2 February 1991	Celtic	A	0–1	26,172
9 February 1991	Hibernian	H	0–0	6,114
16 February 1991	Hearts	A	1–2	7,216
19 February 1991	St. Johnstone	A	1–0	6,910
2 March 1991	Dunfermline	H	1–0	6,379
9 March 1991	St. Mirren	A	1–0	3,960
23 March 1991	Aberdeen	H	1–2	10,643
30 March 1991	St. Johnstone	H	0–0	7,794
13 April 1991	Celtic	H	2–1	12,603
16 April 1991	Motherwell	A	0–1	3,531
20 April 1991	Hibernian	A	0–1	4,000
24 April 1991	Rangers	A	0–1	32,397
