Tournament	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	1R	2R	1R	1R	2R	1R	4R	3R	2R	1R	A	A	A	A	1R	A	0 / 11	7–11
French Open	A	A	A	3R	3R	3R	SF	4R	1R	3R	1R	2R	A	3R	LQ	A	A	0 / 10	19–10
Wimbledon	A	A	1R	2R	3R	2R	1R	A	2R	A	4R	1R	A	3R	1R	A	A	0 / 10	10–10
U.S. Open	A	A	A	3R	2R	QF	1R	A	1R	QF	QF	3R	A	1R	LQ	A	A	0 / 9	17–9
Grand Slam SR	0 / 0	0 / 1	0 / 2	0 / 4	0 / 4	0 / 4	0 / 4	0 / 2	0 / 4	0 / 3	0 / 4	0 / 3	0 / 0	0 / 3	0 / 1	0 / 1	0 / 0	0 / 40	N/A
Annual Win-Loss	0–0	0–1	1–2	5–4	5–4	8–4	5–4	5–2	3–4	7–3	7–4	3–3	0–0	4–3	0–1	0–1	0–0	N/A	53–40
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	NME	NME	A	A	A	A	A	QF	1R	3R	1R	A	A	A	A	A	A	0 / 4	5–4
Miami	NME	NME	A	A	A	2R	A	SF	2R	4R	2R	A	1R	A	LQ	LQ	A	0 / 6	7–6
Monte Carlo	NME	NME	A	3R	3R	3R	1R	2R	1R	QF	A	A	1R	A	LQ	A	A	0 / 7	9–7
Rome	NME	NME	A	1R	1R	1R	A	A	A	3R	A	A	A	A	LQ	A	A	0 / 4	2–4
Hamburg	NME	NME	A	2R	A	1R	2R	A	QF	1R	A	A	A	A	LQ	A	A	0 / 5	5–5
Canada	NME	NME	A	A	A	A	A	A	A	A	A	1R	A	A	A	A	A	0 / 1	0–1
Cincinnati	NME	NME	A	A	A	A	A	A	2R	1R	SF	2R	A	LQ	A	A	A	0 / 4	6–4
Madrid (Stuttgart)	NME	NME	2R	2R	2R	2R	QF	A	A	QF	A	2R	A	A	A	A	A	0 / 7	11–6
Paris	NME	NME	A	A	2R	2R	3R	3R	2R	1R	A	A	A	LQ	A	A	A	0 / 6	6–6
Masters Series SR	0 / 0	0 / 0	0 / 1	0 / 4	0 / 4	0 / 6	0 / 4	0 / 4	0 / 6	0 / 8	0 / 3	0 / 3	0 / 2	0 / 0	0 / 0	0 / 0	0 / 0	0 / 44	N/A
Annual Win-Loss	N/A	N/A	1–1	4–4	4–4	4–6	6–4	8–4	5–6	13–8	4–3	2–2	0–2	0–0	0–0	0–0	0–0	N/A	51–43
Year End Ranking	381	145	56	61	34	39	19	17	46	25	43	96	75	136	152	507	1422	N/A	N/A
