Television service	Country	Language	Content	HDTV	Package/Option
Sky Cinema Active	Italy	Italian	locandine e trailer	no	Sky Cinema
Sky Cinema 1	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema 1 HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema +1	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema +1 HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema +24	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema +24 HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Hits	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Hits HD	Italy	Italian originale	cinema	no	Sky Cinema + Sky HD
Sky Cinema Family	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Family HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Passion	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Passion HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Comedy	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Comedy HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Max	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Max HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Max +1	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Max +1 HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Cult	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Cult HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky Cinema Classics	Italy	Italian originale	cinema	no	Sky Cinema
Sky Cinema Classics HD	Italy	Italian originale	cinema	yes	Sky Cinema + Sky HD
Sky 3D	Italy	Italian originale	tematico	yes	Tutti i pacchetti + Sky HD
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema 1	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema +1	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema +24	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Hits	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Family	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Passion	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Comedy	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Max	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Max +1	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Cult	Italy	Italian originale	cinema	no	Sky Cinema
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Cinema Classics	Italy	Italian originale	cinema	no	Sky Cinema
