RANK	NAME	TEAM	COUNTRY	POINTS
1	"Romario"	FC Barcelona	Brazil	346
2	Hristo Stoitchkov	FC Barcelona	Bulgaria	100
3	Roberto Baggio	Juventus FC	Italy	80
4	Gheorghe Hagi	FC Barcelona	Romania	50
5	Paolo Maldini	Milan AC	Italy	40
6	"Bebeto"	Deportivo La Coruna	Brazil	16
7	Dennis BERGKAMP	Inter Milan	Netherlands	11
8	Carlos Bledorn Verri DUNGA	VfB Stuttgart	Brazil	9
9	Franco BARESI	Milan AC	Italy	7
9	Tomas BROLIN	Parma FC	Sweden	7
9	Jürgen Klinsmann	Tottenham Hotspur FC	Germany	7
9	MAURO da SILVA Gomes	Deportivo La Coruna	Brazil	7
