Date	Opponents	Venue	Result	Attendance	Report 1
05-Oct-83	Brentford	A	4–1	17,859	Report
25-Oct-83	Brentford	H	4–0	9,902	Report
08-Nov-83	Fulham	A	1–1	20,142	Report
22-Nov-83	Fulham	H	1–1	15,783	Report
29-Nov-83	Fulham	A	1–0	20,905	Report
20-Dec-83	Birmingham City	A	1–1	17,405	Report
22-Dec-83	Birmingham City	H	3–0	11,638	Report
17-Jan-84	Sheffield Wednesday	A	2–2	49,357	Report
25-Jan-84	Sheffield Wednesday	H	3–0	40,485	Report
07-Feb-84	Walsall	H	2–2	31,073	Report
14-Feb-84	Walsall	A	2–0	19,591	Report
