Rank	List	Candidate name	Gender	Religion	Votes
16	United Bethlehem	Jamila Subh	♀	☪	1498
17	Al-Ahd	Peter Al-Qumri	♂	†	1453
18	United Bethlehem	Abd Allah Al-Hajj	♂	☪	1446
19	United Bethlehem	Wadi'Al-A'ma	♂	†	1426
20	United Bethlehem	Basim Mazruqa	♂	†	1426
21	Reform	Aliyya Qadi	♀	☪	1421
22	United Bethlehem	Nadir Rahil	♂	†	1414
23	Brotherhood & Development	Izz Al-Din Al-Hraymi	♂	☪	1398
24	Brotherhood & Development	Jalil Ilyas	♂	†	1382
25	United Bethlehem	Amir Kamil	♂	☪	1369
26	Reform	Yusuf Brayjiyya	♂	☪	1283
27	Brotherhood & Development	Nasri Chawka	♂	☪	1251
28	Hope & Labour	Usama Abu Rudayna	♂	†	1250
29	Brotherhood & Development	Ibrahim Matta	♂	†	1186
30	Hope & Labour	Nabil Da'na	♂	☪	1173
31	United Bethlehem	George Hazina	♂	†	1173
32	Brotherhood & Development	Victor Jiyaqaman	♂	†	1172
33	United Bethlehem	Fayiz Hazbun	♂	†	1151
34	Wafaa	Nasir Chawka	♂	☪	1141
35	Wafaa	Jamal Chakhtur	♂	☪	1133
36	Independent	Sa'ud 'Isa	♂	☪	1101
37	Hope & Labour	Mishel Frayj	♂	†	1088
38	Hope & Labour	Muhammad Salahat	♂	☪	1087
39	Hope & Labour	Salim Thaljiyya	♂	†	1068
40	Independent	Kamil Kamil	♂	☪	1059
41	Brotherhood & Development	Wa'il Al-Jarashi	♂	☪	966
42	Al-Ahd	Ahlam Wahsh	♀	☪	945
43	Wafaa	Husam 'Abd Allah	♂	☪	932
44	United Bethlehem	Khalid Charabati	♂	☪	845
45	United Bethlehem	Muhammad 'Awwad	♂	☪	809
46	Hope & Labour	Yusuf Al-Hraymi	♂	☪	795
47	Brotherhood & Development	Mahir Al-Bandak	♂	†	766
48	Al-Ahd	Semiramis Kutlu	♀	†	762
49	Brotherhood & Development	Muhammad Jubran	♂	☪	740
50	Brotherhood & Development	Yunil Anastas	♂	†	718
51	Hope & Labour	Khalid Khlayf	♂	☪	682
52	Al-Ahd	Idris Isma'il	♂	☪	670
53	Hope & Labour	Saliba Tawil	♂	†	665
54	Hope & Labour	Nuha Abu 'Isha	♀	☪	658
55	Brotherhood & Development	Khalil Abu Kamil	♂	☪	637
56	Hope & Labour	Basim Tuwayma	♂	†	636
57	Brotherhood & Development	Nadiyya Ta'amra	♀	☪	635
58	United Bethlehem	Ahmad Jawarish	♂	☪	610
59	Al-Ahd	Sulayman Al-Lusi	♂	†	601
60	Hope & Labour	Abd Allah Ta'amra	♂	☪	598
61	Brotherhood & Development	Abd Al-Rahman 'Abidin	♂	☪	526
62	Al-Ahd	Talal Dabnak	♂	☪	513
63	Independent	Arif Khlayf	♂	☪	497
64	Al-Ahd	Muhammad Jawarish	♂	☪	438
65	Al-Ahd	Amir Hirmas	♂	☪	435
66	Al-Ahd	Khalil Handal	♂	†	402
67	Independent	Ilham 'Abd Al-Jawad	♀	☪	354
68	Independent	Ilyas Babun	♂	†	326
69	Independent	Jadu' Hasan	♂	☪	279
